Date,State,Town,Longitude,Latitude,Sighting
12/31/21,AL,Dauphin Island,-88.1,30.3,1
12/31/21,TX,New Ulm,-96.4,29.9,1
12/30/21,TX,Orange,-93.7,30.1,1
12/29/21,LA,Lafayette,-92,30.2,1
12/28/21,SC,Charleston,-80,32.8,1
12/25/21,FL,Osteen,-81.2,28.8,1
12/25/21,TX,Houston,-95.6,29.7,1
12/25/21,TX,Houston,-95.6,29.7,1
12/19/21,TX,Sugar Land,-95.6,29.7,1
12/18/21,FL,Jacksonville,-81.7,30.3,1
12/18/21,FL,Jacksonville,-81.7,30.3,1
12/18/21,FL,Jacksonville,-81.7,30.3,1
12/18/21,FL,Jacksonville,-81.7,30.3,1
12/18/21,FL,Tampa,-82.5,27.9,1
12/18/21,FL,Jacksonville,-81.7,30.3,1
12/16/21,FL,Orlando,-81.5,28.6,1
12/16/21,TX,League City,-95.1,29.5,1
12/16/21,FL,Brooksville,-82.5,28.5,1
12/13/21,TX,Fulton,-97,28.1,1
12/11/21,LA,Kenner,-90.2,30,1
12/11/21,TX,Rockport,-97.1,28,1
12/10/21,FL,Palm Beach Gardens,-80.1,26.8,1
12/09/21,LA,New Orleans,-90.1,30,1
12/09/21,LA,Lafayette,-92,30.3,1
12/09/21,TX,Spring,-95.4,30.1,1
12/09/21,FL,Fleming Island,-81.7,30.1,1
12/08/21,TX,New Braunfels,-98,29.7,1
12/08/21,FL,Wellington,-80.3,26.6,1
12/08/21,CA,San Diego,-117.2,32.8,1
12/08/21,FL,Saint Petersburg,-82.7,27.7,1
12/08/21,FL,Tampa,-82.5,28.1,1
12/05/21,TX,Magnolia,-95.7,30.2,1
12/05/21,FL,Groveland,-81.9,28.6,1
12/03/21,TX,Bedford,-97.1,32.8,1
12/03/21,TX,Tomball,-95.6,30.1,1
12/02/21,FL,Pensacola,-87.4,30.3,1
11/30/21,FL,Cape Coral,-82,26.7,1
11/28/21,FL,Fort Lauderdale,-80.1,26.2,1
11/27/21,TX,Gause,-96.7,30.7,1
11/27/21,TX,Adkins,-98.2,29.4,1
11/26/21,TX,Rockport,-97,28,1
11/24/21,GA,Richmond Hill,-81.4,31.9,1
11/24/21,TX,Pearland,-95.3,29.6,1
11/24/21,FL,Saint Augustine,-81.5,30,1
11/23/21,FL,Hollywood,-80.1,26,1
11/23/21,LA,Metairie,-90.1,30,1
11/23/21,TX,Corpus Christi,-97.4,27.7,1
11/23/21,TX,San Antonio,-98.3,29.6,1
11/23/21,LA,Metairie,-90.1,30,1
11/22/21,CA,Pismo Beach,-120.7,35.2,1
11/22/21,TX,San Antonio,-98.3,29.6,1
11/22/21,FL,Melbourne,-80.6,28.1,1
11/21/21,TX,Dallas,-96.8,32.9,1
11/21/21,FL,Zephyrhills,-82.2,28.2,1
11/21/21,FL,Fort Myers,-81.8,26.6,1
11/21/21,SC,Mc Cormick,-82.3,33.9,1
11/21/21,FL,New Port Richey,-82.7,28.3,1
11/21/21,FL,Cape Coral,-81.9,26.6,1
11/20/21,FL,Windermere,-81.6,28.5,1
11/19/21,GA,Savannah,-81.1,32.1,1
11/15/21,CA,Pismo Beach,-120.6,35.1,1
11/15/21,NC,Durham,-78.9,36.1,
11/10/21,TX,Richmond,-95.8,29.7,1
11/04/21,CA,Castro Valley,-122.1,37.7,1
10/28/21,PA,Towanda,-76.5,41.8,1
10/26/21,TX,Pearland,-95.2,29.6,1
10/24/21,NM,Tatum,-103.4,33.3,1
10/23/21,TX,San Antonio,-98.5,29.6,1
10/23/21,OH,Cincinnati,-84.4,39.1,1
10/22/21,TX,Midlothian,-97,32.5,1
10/21/21,TN,Thompsons Station,-86.9,35.8,1
10/19/21,MD,Berlin,-75.1,38.2,1
10/19/21,MI,Gulliver,-86.1,46.1,1
10/18/21,TX,Marble Falls,-98.2,30.5,1
10/18/21,TN,Chattanooga,-85.3,35,1
10/18/21,IL,Waverly,-90,39.6,1
10/18/21,IL,Waverly,-90,39.6,1
10/18/21,IL,Waverly,-90,39.6,1
10/18/21,IL,Waverly,-90,39.6,1
10/18/21,IL,Waverly,-90,39.6,1
10/18/21,IL,Waverly,-90,39.6,1
10/18/21,IL,Waverly,-90,39.6,1
10/17/21,MI,Gulliver,-86.1,46.1,1
10/17/21,LA,Lafayette,-92.1,30.1,1
10/16/21,IL,Ivesdale,-88.5,39.9,1
10/16/21,IN,Bloomington,-86.5,39.2,1
10/15/21,TN,Hixson,-85.3,35.2,1
10/13/21,IL,Ivesdale,-88.5,39.9,1
10/13/21,MS,Iuka,-88.2,34.8,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/10/21,IL,Waverly,-90,39.6,1
10/06/21,SC,Mount Pleasant,-79.8,32.8,1
10/06/21,CA,Pismo Beach,-120.7,35.2,1
10/06/21,TX,Mesquite,-96.6,32.8,1
10/05/21,OH,East Rochester,-81,40.7,1
10/05/21,IL,Farmer City,-88.6,40.3,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
10/03/21,IL,Waverly,-90,39.6,1
09/30/21,CA,Pismo Beach,-120.7,35.2,1
09/27/21,OH,Cincinnati,-84.4,39.1,1
09/26/21,MO,Saint Louis,-90.3,38.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,IL,Waverly,-90,39.6,1
09/25/21,OH,Gratis,-84.5,39.6,1
09/24/21,VA,Salem,-80.1,37.3,1
09/24/21,KS,Lawrence,-95.3,39,1
09/24/21,OH,Mc Comb,-83.8,41.1,1
