Date,State,Town,Longitude,Latitude,Sighting
07/31/21,ON,Toronto,-79.4,43.7,1
07/31/21,PA,Edinboro,-80.1,41.9,1
07/31/21,PA,Edinboro,-80.1,41.9,1
07/31/21,PA,Edinboro,-80.1,41.9,1
07/31/21,PA,Edinboro,-80.2,41.9,1
07/31/21,PA,Edinboro,-80.2,41.9,1
07/31/21,MD,Columbia,-76.9,39.2,1
07/31/21,TX,La Porte,-95.1,29.7,1
07/31/21,NH,Exeter,-70.9,43,1
07/31/21,OK,Tulsa,-96,36.2,1
07/31/21,PA,Eau Claire,-79.8,41.1,1
07/31/21,ON,Toronto,-79.5,43.6,1
07/31/21,UT,Salt Lake City,-111.9,40.8,1
07/31/21,MI,Wyoming,-85.7,42.9,1
07/31/21,CT,Pawcatuck,-71.9,41.4,1
07/31/21,NM,Las Vegas,-105.2,35.4,1
07/31/21,MO,Springfield,-93.3,37.2,1
07/31/21,MO,Springfield,-93.3,37.2,1
07/31/21,MO,Springfield,-93.3,37.2,1
07/31/21,MO,Springfield,-93.3,37.2,1
07/30/21,MA,Millis,-71.4,42.2,1
07/30/21,WI,Milwaukee,-88,43.1,1
07/30/21,CT,East Haven,-72.9,41.3,1
07/30/21,VA,Cape Charles,-76,37.3,1
07/30/21,ON,Whitby,-79,43.9,1
07/30/21,FL,,-80,26.8,1
07/30/21,ON,Quinte West,-77.6,44.2,1
07/30/21,CA,Loomis,-121.2,38.8,1
07/30/21,MN,Pine City,-93,45.8,1
07/30/21,NY,Syracuse,-76.2,43,1
07/30/21,CT,Milford,-73.1,41.2,1
07/30/21,ON,Oro-Medonte,-79.7,44.5,1
07/30/21,ON,Toronto,-79.3,43.7,1
07/30/21,MB,Grey,-98.4,49.8,1
07/30/21,ON,North Glengarry,-74.9,45.3,1
07/30/21,MN,Lake Park,-96.1,46.7,1
07/30/21,WI,Eau Claire,-91.5,44.8,1
07/30/21,TX,Midland,-102,32,1
07/30/21,TX,Midland,-102,32,1
07/30/21,TX,Midland,-102,32,1
07/30/21,WI,Town of Spring Prairie,-88.3,42.7,1
07/30/21,OH,Xenia,-83.8,39.7,1
07/30/21,NY,North Java,-78.4,42.7,1
07/30/21,WI,Westfield,-89.5,43.9,1
07/30/21,ON,St Catharines,-79.3,43.1,1
07/30/21,NH,Laconia,-71.5,43.5,1
07/30/21,NY,Schenectady,-73.9,42.8,1
07/30/21,MO,Springfield,-93.3,37.2,1
07/29/21,NY,Blossvale,-75.6,43.3,1
07/29/21,CT,Torrington,-73.1,41.8,1
07/29/21,CT,Torrington,-73.1,41.8,1
07/29/21,VA,Oakton,-77.3,38.9,1
07/29/21,IL,Chicago,-87.7,41.9,1
07/29/21,CT,Tolland,-72.4,41.9,1
07/29/21,OH,Antwerp,-84.7,41.2,1
07/29/21,MN,Minneapolis,-93.3,44.9,1
07/29/21,WV,Shinnston,-80.3,39.4,1
07/29/21,NY,Ellenville,-74.4,41.7,1
07/29/21,GA,Kingsland,-81.6,30.8,1
07/29/21,WI,Sheboygan,-87.7,43.8,1
07/29/21,FL,Tallahassee,-84.2,30.6,1
07/29/21,NS,Queens,-64.7,44,1
07/29/21,WI,Madison,-89.4,43,1
07/29/21,MI,Edwardsburg,-86.1,41.8,1
07/29/21,MD,Solomons,-76.5,38.3,1
07/29/21,ON,Mississauga,-79.6,43.5,1
07/29/21,MI,Port Huron,-82.4,43,1
07/29/21,PA,Fairfield,-77.4,39.8,1
07/29/21,OH,Versailles,-84.5,40.2,1
07/29/21,MN,Minnetonka,-93.5,44.9,1
07/29/21,OK,Edmond,-97.5,35.7,1
07/29/21,IL,Willowbrook,-87.9,41.8,1
07/29/21,NY,Springville,-78.7,42.5,1
07/29/21,IL,Waggoner,-89.7,39.3,1
07/29/21,ON,Parry Sound,-80,45.3,1
07/29/21,MO,Springfield,-93.3,37.2,1
07/28/21,PA,Sugarloaf Twp,-76.3,41.3,1
07/28/21,SC,Bluffton,-80.9,32.2,1
07/28/21,QC,Waterloo,-72.5,45.3,1
07/28/21,MA,Wakefield,-71,42.5,1
07/28/21,PA,Lansdale,-75.3,40.2,1
07/28/21,TX,Spring,-95.4,30.1,1
07/28/21,OH,Athens,-82.1,39.4,1
07/28/21,OH,Athens,-82.2,39.4,1
07/28/21,SD,Ellsworth Afb,-103.1,44.2,1
07/28/21,ON,Burlington,-79.8,43.3,1
07/28/21,KY,Morehead,-83.3,38.1,1
07/28/21,MO,Saint Louis,-90.3,38.7,1
07/28/21,NE,,-97.7,42.8,1
07/28/21,ON,Guelph/Eramosa,-80.1,43.6,1
07/28/21,WI,Cottage Grove,-89.2,43.1,1
07/28/21,WI,Cottage Grove,-89.2,43.1,1
07/28/21,MI,Manistee,-86.4,44.2,1
07/28/21,NJ,Washington Twp,-75.1,39.8,1
07/28/21,TN,Jonesborough,-82.6,36.3,1
07/28/21,WI,Portage,-89.5,43.5,1
07/28/21,MO,Saint Louis,-90.2,38.6,1
07/28/21,TX,Midland,-102,32,1
07/28/21,VA,Buchanan,-79.8,37.6,1
07/28/21,QC,Gore,-74.2,45.8,1
07/28/21,OH,Avon Lake,-82,41.5,1
07/28/21,PA,West Chester,-75.6,40,1
07/28/21,IL,Grayslake,-88,42.4,1
07/28/21,ON,Puslinch,-80.1,43.4,1
07/28/21,WI,Town of Cicero,-88.4,44.5,1
07/28/21,PA,Slippery Rock,-80,41,1
07/28/21,MI,Plymouth,-83.6,42.4,1
07/28/21,MD,Lusby,-76.4,38.4,1
07/28/21,ON,Calvin,-78.9,46.3,1
07/28/21,FL,Fort Walton Beach,-86.6,30.4,1
07/28/21,TX,Menard,-99.7,30.6,1
07/28/21,TX,Menard,-99.7,30.6,1
07/28/21,NS,Annapolis,-65.5,44.7,1
07/28/21,MO,Willard,-93.4,37.3,1
07/28/21,MO,Willard,-93.4,37.3,1
07/27/21,WI,Burlington,-88.3,42.7,1
07/27/21,PA,Blue Bell,-75.3,40.2,1
07/27/21,WI,Green Bay,-88,44.5,1
07/27/21,WI,Green Bay,-88,44.5,1
07/27/21,ON,Ottawa,-75.7,45.4,1
07/27/21,NH,Gilford,-71.4,43.5,1
07/27/21,VA,Virginia Beach,-76.2,36.8,1
07/27/21,PA,East Mc Keesport,-79.8,40.4,1
07/27/21,PA,Fairfield,-77.4,39.8,1
07/27/21,VA,Castleton,-78.1,38.7,1
07/27/21,SC,Bluffton,-80.9,32.2,1
07/27/21,SD,Canton,-96.6,43.3,1
07/27/21,IL,Chicago,-87.7,42,1
07/27/21,ON,Markham,-79.4,43.8,1
07/27/21,MB,Winnipeg,-97.1,49.9,1
07/27/21,NS,Digby Municipal District,-66,44.6,1
07/27/21,NS,Annapolis,-65.7,44.6,1
07/27/21,MD,Lusby,-76.4,38.4,1
07/27/21,CT,Niantic,-72.2,41.3,1
07/27/21,OK,Tulsa,-96.1,36,1
07/27/21,FL,Destin,-86.5,30.4,1
07/27/21,MO,Springfield,-93.3,37.2,1
07/26/21,MA,Hadley,-72.5,42.4,1
07/26/21,WI,Ogdensburg,-89,44.6,1
07/26/21,PA,Lake City,-80.3,42,1
07/26/21,NH,Barrington,-71.1,43.2,1
07/26/21,ON,Kawartha Lakes,-78.8,44.6,1
07/26/21,WI,Town of Spring Prairie,-88.3,42.7,1
07/26/21,TX,Leander,-97.9,30.6,1
07/26/21,ON,Clearview,-80.2,44.3,1
07/26/21,ON,Clearview,-80.2,44.3,1
07/26/21,NY,Sackets Harbor,-76.1,43.9,1
07/26/21,MB,Winnipeg,-97.2,49.9,1
07/26/21,MB,Winnipeg,-97.2,49.9,1
07/26/21,MB,Winnipeg,-97.2,49.9,1
07/26/21,SC,Charleston,-80,32.8,1
07/26/21,ON,Springwater,-79.8,44.5,1
07/26/21,ON,Hamilton,-80,43.3,1
07/26/21,IN,Terre Haute,-87.4,39.5,1
07/26/21,OK,Hinton,-98.3,35.4,1
07/26/21,MA,Chatham,-70,41.7,1
07/26/21,LA,Lacombe,-89.9,30.3,1
07/26/21,CA,Union City,-122,37.6,1
07/26/21,MD,Columbia,-76.9,39.2,1
07/26/21,MI,Pigeon,-83.2,43.9,1
07/26/21,VA,Irvington,-76.4,37.7,1
07/26/21,TX,Richardson,-96.7,32.9,1
07/26/21,WI,Village of Weston,-89.5,44.9,1
07/26/21,WV,Parkersburg,-81.6,39.3,1
07/26/21,VA,Reston,-77.4,39,1
07/26/21,IA,Windsor Heights,-93.7,41.6,1
07/26/21,CT,Mystic,-72,41.3,1
07/26/21,CT,Mystic,-72,41.3,1
07/26/21,NE,Omaha,-96.1,41.3,1
07/26/21,NH,Hooksett,-71.4,43,1
07/26/21,IL,Pekin,-89.6,40.6,1
07/26/21,OH,Wooster,-81.9,40.8,1
07/26/21,PA,Pocono Pines,-75.5,41.1,1
07/26/21,OH,Avon Lake,-82,41.5,1
07/26/21,MO,Springfield,-93.3,37.2,1
07/26/21,MO,Springfield,-93.3,37.2,1
07/25/21,MI,South Haven,-86.2,42.5,1
07/25/21,MO,Farmington,-90.4,37.7,1
07/25/21,VA,Mechanicsville,-77.2,37.6,1
07/25/21,VA,Mechanicsville,-77.2,37.6,1
07/25/21,NS,Bridgewater,-64.5,44.3,1
07/25/21,IL,Itasca,-88,42,1
07/25/21,NC,Mocksville,-80.5,35.9,1
07/25/21,WI,Milwaukee,-88,43.2,1
07/25/21,OK,Oklahoma City,-97.6,35.5,1
07/25/21,OK,Haskell,-95.7,35.8,1
07/25/21,MD,Ellicott City,-76.8,39.3,1
07/25/21,IL,Crest Hill,-88.1,41.6,1
07/25/21,MI,Fenton,-83.7,42.8,1
07/25/21,MN,Maple Grove,-93.5,45.1,1
07/25/21,ON,Hamilton,-79.9,43.3,1
07/25/21,VA,Castleton,-78.1,38.7,1
07/25/21,VA,Castleton,-78.1,38.7,1
07/25/21,ON,Algoma,-84.4,46.8,1
07/25/21,NS,Halifax,-63.5,44.6,1
07/25/21,TX,Spring,-95.4,30.1,1
07/25/21,SK,Rhein,-102.2,51.4,1
07/25/21,MD,Bowie,-76.7,39,1
07/25/21,OK,Piedmont,-97.7,35.7,1
07/25/21,OK,Piedmont,-97.7,35.7,1
07/25/21,IL,Chicago,-87.6,41.8,1
07/25/21,VA,Reston,-77.4,39,1
07/25/21,NS,Annapolis,-65.6,44.6,1
07/25/21,NS,Annapolis,-65.6,44.6,1
07/25/21,NS,Annapolis,-65.4,44.7,1
07/25/21,IL,Lynn Center,-90.3,41.2,1
07/25/21,WI,Baileys Harbor,-87.1,45.1,1
07/25/21,NY,Town of Java,-78.4,42.6,1
07/25/21,VT,Saxtons River,-72.5,43.1,1
07/25/21,VT,Saxtons River,-72.5,43.1,1
07/25/21,AR,Roland,-92.5,34.8,1
07/25/21,AR,Roland,-92.5,34.8,1
07/25/21,AR,Roland,-92.5,34.8,1
07/25/21,MN,Waconia,-93.7,44.8,1
07/25/21,MN,Chaska,-93.7,44.8,1
07/25/21,NC,Manteo,-75.7,35.9,1
07/25/21,MO,Springfield,-93.3,37.2,1
07/25/21,MO,Ozark,-93.2,37.1,1
07/25/21,MO,Springfield,-93.2,37.3,1
07/25/21,WI,Baileys Harbor,-87.1,45.1,1
07/25/21,WI,Baileys Harbor,-87.1,45.1,1
07/25/21,AR,Roland,-92.5,34.8,1
07/24/21,PA,Center Valley,-75.4,40.5,1
07/24/21,MI,Grand Ledge,-84.8,42.8,1
07/24/21,MI,Grand Ledge,-84.7,42.8,1
07/24/21,MI,Lansing,-84.7,42.8,1
07/24/21,MI,Watertown Twp,-84.7,42.8,1
07/24/21,IN,Connersville,-85.1,39.6,1
07/24/21,IL,Homewood,-87.6,41.5,1
07/24/21,CT,Tolland,-72.3,41.9,1
07/24/21,IN,Terre Haute,-87.4,39.4,1
07/24/21,PA,Philadelphia,-75,40.1,1
