Date,State,Town,Longitude,Latitude,Sighting
12/31/21,TX,Richmond,-95.8,29.7,30
12/30/21,TX,Houston,-95.1,29.6,6
12/30/21,TX,San Antonio,-98.7,29.5,5
12/30/21,TX,Houston,-95.4,29.8,1
12/29/21,TX,Hitchcock,-94.9,29.3,8
12/29/21,LA,Lafayette,-92,30.2,1
12/29/21,LA,Gretna,-90,29.9,11
12/29/21,TX,Conroe,-95.4,30.1,5
12/29/21,LA,Lafayette,-92,30.2,1
12/28/21,TX,Cypress,-95.7,30,13
12/27/21,LA,New Orleans,-90.2,30,28
12/27/21,TX,Brenham,-96.4,30.2,5
12/27/21,TX,Houston,-95.4,29.8,1
12/27/21,FL,Pensacola,-87.4,30.5,10
12/27/21,TX,League City,-95.1,29.5,1
12/26/21,TX,Boling,-95.9,29.3,1
12/26/21,FL,Gainesville,-82.3,29.7,50
12/26/21,TX,League City,-95.1,29.5,12
12/26/21,TX,Pearland,-95.2,29.6,24
12/24/21,FL,Jacksonville,-81.5,30.3,1
12/22/21,TX,Porter,-95.3,30.1,6
12/21/21,TX,League City,-95.1,29.5,1
12/20/21,AL,Fairhope,-87.8,30.5,30
12/18/21,TX,Texas City,-94.9,29.4,1
12/17/21,LA,Houma,-90.7,29.6,14
12/17/21,LA,Metairie,-90.1,30,1
12/17/21,TX,Houston,-95.1,29.6,5
12/16/21,FL,Clearwater,-82.8,28,2
12/16/21,TX,Houston,-95.5,29.7,4
12/15/21,FL,Ormond Beach,-81.2,29.4,2
12/15/21,TX,Houston,-95.6,30,1
12/15/21,TX,League City,-95.1,29.5,1
12/15/21,TX,Humble,-95.2,30,5
12/15/21,TX,Richmond,-95.8,29.6,1
12/14/21,FL,Lady Lake,-81.9,28.9,1
12/14/21,FL,Cocoa,-80.8,28.5,6
12/14/21,AZ,Tempe,-111.9,33.4,1
12/13/21,FL,Ormond Beach,-81.2,29.4,1
12/12/21,LA,New Orleans,-90.1,30,2
12/12/21,LA,New Orleans,-90.1,30,2
12/12/21,LA,New Orleans,-90.2,30,7
12/12/21,FL,Saint Petersburg,-82.7,27.7,5
12/12/21,FL,Longwood,-81.3,28.7,63
12/11/21,LA,Kenner,-90.2,30,5
12/11/21,FL,Ormond Beach,-81.2,29.4,1
12/10/21,FL,Winter Park,-81.3,28.6,16
12/10/21,LA,New Orleans,-90.2,30,7
12/10/21,FL,Clermont,-81.7,28.5,3
12/10/21,TX,Corpus Christi,-97.3,27.7,20
12/08/21,FL,Ormond Beach,-81.2,29.4,2
12/08/21,FL,Labelle,-81.4,26.8,10
12/08/21,FL,Saint Augustine,-81.3,29.8,30
12/08/21,FL,Saint Petersburg,-82.7,27.7,5
12/08/21,CA,San Diego,-117.2,32.8,6
12/07/21,FL,New Port Richey,-82.7,28.2,1
12/07/21,FL,Satellite Beach,-80.6,28.2,2
12/07/21,FL,Cocoa,-80.8,28.5,3
12/07/21,AZ,Tucson,-111.2,32.2,2
12/06/21,LA,Galliano,-90.3,29.4,20
12/06/21,TX,Edinburg,-98.2,26.3,11
12/05/21,TX,League City,-95.1,29.5,3
12/05/21,FL,Boynton Beach,-80.1,26.5,2
12/05/21,AL,Lillian,-87.5,30.4,12
12/05/21,TX,Magnolia,-95.7,30.1,4
12/05/21,TX,Killeen,-97.7,31,16
12/04/21,FL,Sarasota,-82.5,27.3,3
12/04/21,TX,League City,-95.1,29.5,18
12/04/21,FL,Gainesville,-82.4,29.7,2
12/04/21,FL,Palm Beach Gardens,-80.1,26.8,3
12/04/21,TX,Killeen,-97.7,31,4
12/03/21,TX,Port Isabel,-97.3,26.1,5
12/03/21,FL,Palm Beach Gardens,-80.1,26.8,3
12/03/21,TX,League City,-95.1,29.5,20
12/03/21,TX,Tomball,-95.6,30.1,1
12/02/21,FL,Titusville,-80.9,28.6,17
12/02/21,FL,Satellite Beach,-80.6,28.2,3
12/02/21,FL,Ormond Beach,-81.1,29.3,6
12/02/21,FL,Clearwater,-82.8,28,1
12/02/21,TX,Richmond,-95.8,29.7,7
12/02/21,TX,Pearland,-95.3,29.6,15
12/01/21,FL,Tampa,-82.5,28.1,44
12/01/21,TX,Houston,-95.5,29.7,1
12/01/21,LA,Gretna,-90,29.9,2
12/01/21,FL,Key Largo,-80.4,25.1,2
12/01/21,FL,Tampa,-82.4,28.2,12
11/30/21,AZ,Phoenix,-112.1,33.8,1
11/29/21,FL,Key Largo,-80.4,25.1,4
11/29/21,FL,Naples,-81.8,26.1,2
11/27/21,FL,Punta Gorda,-82,27,2
11/27/21,TX,Lytle,-98.8,29.2,1
11/26/21,CA,San Anselmo,-122.6,38,1
11/26/21,FL,Clermont,-81.7,28.5,6
11/24/21,FL,Titusville,-80.9,28.6,4
11/24/21,CA,Los Osos,-120.8,35.3,4
11/24/21,FL,Naples,-81.8,26.1,6
11/22/21,FL,Bradenton,-82.6,27.5,1
11/22/21,CA,Nipomo,-120.5,35,100
11/22/21,FL,North Port,-82.1,27.1,10
