Date,State,Town,Longitude,Latitude,Sighting
07/31/21,VA,Chesapeake,-76.4,36.9,6
07/31/21,NH,Exeter,-70.9,43,4
07/31/21,DE,Newark,-75.8,39.7,2
07/31/21,MN,Saint Paul,-93.1,44.9,1
07/31/21,IL,Crystal Lake,-88.3,42.2,1
07/31/21,CT,Deep River,-72.4,41.4,9
07/31/21,VA,Virginia Beach,-76.1,36.9,4
07/31/21,QC,Gore,-74.3,45.7,1
07/31/21,MD,Derwood,-77.1,39.1,1
07/31/21,NY,Syracuse,-76.3,43,5
07/31/21,MI,Belmont,-85.5,43.1,7
07/31/21,ON,Ottawa,-76,45.5,1
07/31/21,OK,Henryetta,-95.8,35.5,7
07/31/21,NM,Gallina,-106.5,36.1,20
07/31/21,OK,Oklahoma City,-97.4,35.5,34
07/31/21,NY,Town of Arcade,-78.4,42.6,1
07/31/21,OH,Athens,-82,39.4,4
07/31/21,TX,Spring,-95.4,30.1,14
07/31/21,MA,Framingham,-71.5,42.3,6
07/31/21,MA,Framingham,-71.4,42.3,12
07/31/21,IN,Hammond,-87.5,41.6,9
07/31/21,MD,Lusby,-76.5,38.4,7
07/31/21,MA,Winchester,-71.1,42.4,21
07/30/21,IL,Chicago,-87.7,41.9,3
07/30/21,VA,Mechanicsville,-77.2,37.6,6
07/30/21,IL,Urbana,-88.2,40.1,26
07/30/21,MA,Dalton,-73.1,42.5,1
07/30/21,WI,Milwaukee,-88,43.1,5
07/30/21,NY,Monroe,-74.2,41.3,7
07/30/21,OK,Edmond,-97.5,35.7,1
07/30/21,FL,,-80,26.8,1
07/30/21,VA,Virginia Beach,-76.1,36.9,13
07/30/21,NY,Syracuse,-76.2,43,1
07/30/21,NJ,Williamstown,-75,39.7,8
07/30/21,ON,Oro-Medonte,-79.7,44.5,10
07/30/21,NJ,Lumberton,-74.8,40,8
07/30/21,PA,Saxonburg,-79.8,40.8,5
07/30/21,UT,Salt Lake City,-111.9,40.8,1
07/30/21,OH,Loveland,-84.2,39.2,6
07/30/21,UT,Salt Lake City,-111.9,40.8,3
07/30/21,IL,Waverly,-90,39.6,16
07/30/21,IL,Palmyra,-90,39.4,6
07/30/21,RI,Newport,-71.3,41.5,8
07/30/21,ON,Ottawa,-75.9,45.3,5
07/30/21,OK,Tulsa,-95.9,36,7
07/30/21,MO,Kansas City,-94.5,39.2,3
07/30/21,NJ,High Bridge,-74.9,40.7,24
07/30/21,KY,Lebanon Junction,-85.7,37.9,14
07/30/21,UT,Pleasant Grove,-111.8,40.4,1
07/30/21,IN,Michigan City,-86.9,41.6,22
07/30/21,IN,Griffith,-87.4,41.5,1
07/30/21,IN,Westpoint,-87,40.3,26
07/30/21,MA,Winchester,-71.1,42.5,22
07/29/21,RI,Middletown,-71.3,41.5,20
07/29/21,CT,Danielson,-71.9,41.8,16
07/29/21,OK,El Reno,-98,35.5,4
07/29/21,VA,Reston,-77.3,38.9,4
07/29/21,OH,Antwerp,-84.7,41.2,73
07/29/21,ON,Georgina,-79.4,44.3,1
