Date,State,Town,Longitude,Latitude,Sighting
1/1/2021,FL,Crystal River,-82.6,28.9,1
1/1/2021,LA,Metairie,-90.2,30,1
1/1/2021,FL,Fort Lauderdale,-80.4,26.1,12
1/1/2021,FL,Pompano Beach,-80.2,26.3,1
1/1/2021,FL,Naples,-81.8,26.2,2
1/1/2021,FL,Pompano Beach,-80.2,26.3,1
1/2/2021,FL,Coral Springs,-80.3,26.3,1
1/2/2021,AL,Mobile,-88.2,30.6,1
1/2/2021,FL,Merritt Island,-80.7,28.4,1
1/2/2021,FL,Merritt Island,-80.7,28.4,1
1/2/2021,FL,Coral Springs,-80.3,26.3,1
1/2/2021,FL,Jacksonville,-81.7,30.4,1
1/2/2021,FL,Miami,-80.3,25.7,1
1/2/2021,FL,Crystal River,-82.6,28.9,1
1/2/2021,FL,Fort Lauderdale,-80.4,26.1,2
1/2/2021,TX,Galveston,-95,29.2,1
1/3/2021,FL,Hialeah,-80.3,25.9,1
1/3/2021,TX,Dickinson,-95.1,29.5,1
1/3/2021,St Croix,Christiansted,-64.7,17.7,1
1/4/2021,TX,Magnolia,-95.6,30.2,1
1/4/2021,FL,Hollywood,-80.2,26,2
1/4/2021,SC,Charleston,-80,32.8,1
1/4/2021,LA,Slidell,-89.7,30.3,1
1/4/2021,FL,Fort Lauderdale,-80.4,26.1,2
1/4/2021,TX,League City,-95,29.5,2
1/4/2021,FL,Atlantic Beach,-81.4,30.3,1
1/4/2021,FL,Panama City Beach,-85.8,30.2,1
1/4/2021,FL,Sarasota,-82.5,27.3,1
1/4/2021,TX,Houston,-95.4,29.7,1
1/5/2021,MS,Pass Christian,-89.2,30.3,1
1/5/2021,LA,Lafayette,-92.1,30.2,1
1/5/2021,TX,Rockport,-97,28,1
1/5/2021,TX,Magnolia,-95.6,30.2,1
1/5/2021,CA,Oakland,-122.2,37.8,1
1/5/2021,FL,Hollywood,-80.4,26,2
1/5/2021,FL,Fort Myers,-81.9,26.6,2
1/5/2021,TX,Houston,-95.7,29.8,1
1/5/2021,TX,Houston,-95.5,29.8,1
1/5/2021,FL,Boca Raton,-80.2,26.4,1
1/5/2021,FL,Crawfordville,-84.1,30.2,3
1/6/2021,FL,Saint Petersburg,-82.6,27.8,1
1/6/2021,FL,West Palm Beach,-80.2,26.8,1
1/6/2021,TX,Texas City,-94.9,29.4,1
1/6/2021,TX,Burleson,-97.2,32.6,1
1/6/2021,TX,Brownsville,-97.5,25.9,1
1/6/2021,FL,Tallahassee,-84.2,30.5,1
1/6/2021,FL,Winter Garden,-81.6,28.6,2
1/6/2021,FL,Pensacola,-87.2,30.4,1
1/6/2021,FL,Apollo Beach,-82.4,27.8,3
1/6/2021,AZ,Tempe,-111.9,33.4,2
1/7/2021,TX,Kemah,-95,29.5,1
1/7/2021,CA,Laguna Niguel,-117.7,33.6,1
1/8/2021,FL,Boynton Beach,-80.2,26.5,1
1/8/2021,FL,Boynton Beach,-80.1,26.5,1
1/8/2021,FL,Key West,-81.8,24.6,1
1/8/2021,FL,Fort Lauderdale,-80.2,26.1,1
1/8/2021,TX,Brownsville,-97.5,25.9,1
1/8/2021,CA,Poway,-117.1,33,1
1/8/2021,TX,Houston,-95.4,29.8,2
1/8/2021,FL,Englewood,-82.3,26.9,1
1/9/2021,FL,Fort Lauderdale,-80.1,26.1,3
1/9/2021,FL,Fort Lauderdale,-80.2,26.1,3
1/10/2021,FL,Naples,-81.8,26.1,1
1/10/2021,FL,Key Largo,-80.4,25.2,2
1/10/2021,FL,Deerfield Beach,-80.2,26.3,3
1/10/2021,TX,Austin,-97.8,30.1,1
1/11/2021,FL,Hollywood,-80.2,26,5
1/11/2021,FL,Hollywood,-80.3,26,1
1/11/2021,FL,Key Largo,-80.4,25.2,6
1/11/2021,FL,Merritt Island,-80.7,28.4,1
