Date,State,Town,Longitude,Latitude,Sighting
12/31/21,LA,Kenner,-90.3,30,2
12/31/21,FL,Pace,-87.1,30.6,1
12/31/21,FL,Clearwater,-82.7,28,1
12/31/21,FL,St. Petersburg,-82.7,27.8,1
12/31/21,FL,Clearwater,-82.8,28,2
12/31/21,TX,Richmond,-95.8,29.7,4
12/31/21,TX,Spring,-95.5,30,1
12/31/21,TX,Dallas,-96.8,32.7,1
12/31/21,LA,Metairie,-90.2,30,1
12/31/21,FL,Jacksonville,-81.6,30.3,2
12/31/21,SC,North Charleston,-80,32.9,1
12/31/21,FL,Middleburg,-81.9,30.1,1
12/31/21,SC,Hollywood,-80.2,32.7,1
12/31/21,FL,St. Petersburg,-82.6,27.8,1
12/31/21,TX,Fort Worth,-97.2,32.8,2
12/31/21,FL,The Villages,-82,28.9,2
12/31/21,TX,San Antonio,-98.3,29.6,10
12/31/21,FL,North Palm Beach,-80.1,26.8,1
12/31/21,GA,Kingsland,-81.6,30.8,1
12/31/21,FL,Valrico,-82.2,27.9,1
12/31/21,FL,Pensacola,-87.2,30.4,2
12/31/21,TX,Houston,-95.3,29.8,1
12/31/21,TX,New Braunfels,-98.1,29.7,1
12/31/21,GA,Savannah,-81.1,32.1,6
12/31/21,FL,Gulf Breeze,-87.1,30.4,1
12/31/21,TX,Houston,-95.2,30,4
12/31/21,TX,Houston,-95.4,29.8,2
12/31/21,TX,San Antonio,-98.5,29.7,3
12/31/21,TX,San Antonio,-98.6,29.5,20
12/31/21,LA,Slidell,-89.8,30.3,1
12/31/21,TX,San Antonio,-98.6,29.5,20
12/31/21,TX,Nederland,-94,30,2
12/31/21,FL,Englewood,-82.3,26.9,2
12/31/21,LA,Baton Rouge,-91,30.4,1
12/31/21,FL,Palm Beach Gardens,-80.1,26.8,1
12/31/21,TX,San Antonio,-98.5,29.6,2
12/31/21,FL,Boynton Beach,-80.1,26.5,2
12/31/21,TX,Houston,-95.5,29.7,1
12/31/21,FL,St. Petersburg,-82.6,27.8,1
12/31/21,TX,Bay City,-96,29,2
12/31/21,FL,Titusville,-80.8,28.6,1
12/31/21,TX,Fort Worth,-97.2,32.8,1
