Date,State,Town,Longitude,Latitude,Sighting
07/31/21,MI,Rochester,-83.2,42.7,1
07/31/21,PA,New Cumberland,-76.9,40.2,3
07/31/21,NY,Ithaca,-76.5,42.5,1
07/31/21,NY,Lansing,-76.5,42.5,3
07/31/21,NC,Wake Forest,-78.5,36,1
07/31/21,TX,North Richland Hills,-97.2,32.8,1
07/31/21,NJ,Brick,-74.1,40.1,1
07/31/21,DE,Newark,-75.8,39.7,1
07/31/21,OK,Henryetta,-95.8,35.5,1
07/31/21,OK,Broken Arrow,-95.8,36,1
07/31/21,MN,Minneapolis,-93.2,45,2
07/31/21,MN,Minneapolis,-93.2,45,1
07/31/21,NJ,Atco,-74.9,39.8,2
07/31/21,PA,New Cumberland,-76.9,40.2,1
07/31/21,NM,Maxwell,-104.6,36.6,2
07/31/21,MN,Minneapolis,-93.2,45,2
07/31/21,MN,Minneapolis,-93.2,45,1
07/31/21,ON,St Catharines,-79.3,43.1,1
07/31/21,PA,South Londonderry Twp,-76.6,40.3,1
07/31/21,PA,New Cumberland,-76.9,40.2,2
07/31/21,MN,Minneapolis,-93.2,45,2
07/31/21,MD,Derwood,-77.1,39.1,1
07/31/21,MN,Minneapolis,-93.2,45,2
07/31/21,NH,Exeter,-70.9,43,3
07/31/21,TX,Mckinney,-96.6,33.2,1
07/31/21,PA,Champion,-79.3,40,1
07/31/21,CT,Stratford,-73.1,41.2,1
07/31/21,NJ,Woodbury,-75.1,39.8,1
07/31/21,NY,Lancaster,-78.7,42.9,1
07/31/21,NC,Mount Gilead,-79.9,35.2,1
07/31/21,NY,Bayside,-73.8,40.8,3
07/31/21,TX,Plano,-96.8,33.1,2
07/31/21,OK,Tulsa,-96,36.2,1
07/31/21,MA,Roslindale,-71.1,42.3,1
07/31/21,MI,Grosse Pointe,-82.9,42.4,3
07/31/21,PA,Horsham,-75.2,40.2,2
07/31/21,PA,Eau Claire,-79.8,41.1,8
07/31/21,MI,Harrisville,-83.3,44.7,7
07/31/21,MD,Annapolis,-76.5,38.9,1
07/31/21,NJ,Brigantine,-74.4,39.4,1
07/31/21,NY,Middle Village,-73.9,40.7,12
07/31/21,UT,Salt Lake City,-111.8,40.7,1
07/31/21,ON,Highlands East,-78.2,45,1
07/31/21,VT,Milton,-73.1,44.6,1
07/31/21,MN,Bayport,-92.8,45,1
07/31/21,PA,Enola,-76.9,40.3,2
07/31/21,DE,Newark,-75.8,39.7,1
07/31/21,UT,Salt Lake City,-111.9,40.8,1
07/31/21,OK,Chandler,-96.9,35.6,2
07/31/21,CA,Mission Viejo,-117.7,33.6,1
07/31/21,OH,Lakewood,-81.8,41.5,1
07/31/21,MI,Wyoming,-85.7,42.9,1
07/31/21,PA,Pittsburgh,-80.1,40.5,1
07/31/21,OK,Oklahoma City,-97.4,35.5,1
07/31/21,MN,Mabel,-91.9,43.5,2
07/31/21,TX,Sumner,-95.8,33.8,1
07/31/21,CA,Studio City,-118.4,34.1,1
07/31/21,MI,Alma,-84.7,43.5,15
07/31/21,MI,,-85.4,42.1,3
07/31/21,NJ,Mount Holly,-74.8,40,2
07/31/21,CT,Pawcatuck,-71.9,41.4,28
07/31/21,CT,Town of North Stonington,-71.9,41.4,1
07/31/21,IL,Vernon Hills,-88,42.2,1
07/31/21,NY,Brooklyn,-74,40.7,1
07/31/21,NY,Brooklyn,-74,40.6,1
07/31/21,MN,Saint Paul,-93.1,44.9,3
07/31/21,TX,Georgetown,-97.7,30.6,1
07/31/21,TX,Georgetown,-97.7,30.6,1
07/31/21,CA,Studio City,-118.4,34.1,1
07/31/21,NH,Hooksett,-71.4,43,2
07/31/21,OH,Elyria,-82.1,41.3,1
07/31/21,PA,Lancaster,-76.3,40.1,1
07/31/21,CA,Studio City,-118.4,34.1,1
07/31/21,MA,Raynham,-71.1,41.9,1
07/31/21,PA,Newtown Square,-75.4,40,20
07/31/21,PA,Harrisburg,-76.8,40.3,1
07/31/21,PA,Philadelphia,-75,40.1,4
07/31/21,MA,Fall River,-71.1,41.7,1
07/31/21,TX,Mckinney,-96.6,33.2,1
07/31/21,MI,Wyandotte,-83.1,42.2,1
07/31/21,WI,Bayfield,-90.8,46.8,2
07/31/21,ON,Lanark Highlands,-76.4,45,4
07/31/21,MN,Minneapolis,-93.3,44.9,12
07/31/21,IN,Newburgh,-87.4,37.9,2
07/31/21,CA,Oakland,-122.3,37.8,1
07/31/21,PA,Scranton,-75.6,41.4,1
07/31/21,SC,Okatie,-81,32.3,2
07/31/21,ON,LaSalle,-83.1,42.2,5
07/31/21,MO,Kansas City,-94.5,39.2,4
07/31/21,ON,Belleville,-77.4,44.2,1
07/31/21,NY,Brooklyn,-73.9,40.6,1
07/31/21,TX,Cookville,-94.8,33.2,1
07/31/21,ON,Leamington,-82.5,42,6
07/31/21,AR,Barling,-94.3,35.3,1
07/31/21,NY,New York,-74,40.8,2
07/31/21,NY,New York,-74,40.8,6
07/31/21,MD,Hagerstown,-77.7,39.7,1
07/31/21,QC,Gore,-74.3,45.8,1
07/31/21,UT,Torrey,-111.1,38.1,2
07/31/21,MO,Springfield,-93.3,37.2,2
07/31/21,MD,Derwood,-77.1,39.1,1
07/31/21,NM,Montezuma,-105.4,35.7,2
07/31/21,NY,Syracuse,-76.3,43,1
07/31/21,OK,Tulsa,-95.9,36,1
07/31/21,MI,Kalamazoo,-85.6,42.3,1
07/31/21,MD,Lutherville Timonium,-76.6,39.4,1
07/31/21,NJ,Gibbstown,-75.3,39.8,1
07/31/21,VA,Sperryville,-78.2,38.5,1
07/31/21,NJ,Cape May,-74.9,38.9,15
07/31/21,CA,Claremont,-117.7,34.1,1
07/31/21,PA,Halifax,-77,40.4,1
07/31/21,WI,Coloma,-89.6,44,4
07/31/21,NH,Mont Vernon,-71.7,42.9,2
07/31/21,VA,Virginia Beach,-76.2,36.8,1
07/31/21,WV,South Charleston,-81.7,38.4,1
07/31/21,GA,Smyrna,-84.5,33.9,1
07/31/21,GA,Smyrna,-84.5,33.9,1
07/31/21,NM,Bernalillo,-106.6,35.3,1
07/31/21,MN,Minneapolis,-93.2,45,12
07/31/21,VA,Winchester,-78.2,39.2,4
07/31/21,PA,York,-76.7,39.9,4
07/31/21,TN,Paris,-88.3,36.3,1
07/31/21,NM,Gallina,-106.5,36.1,2
07/31/21,WI,Milwaukee,-87.9,43,1
07/31/21,CT,Norwalk,-73.4,41.1,4
07/31/21,NS,Chester,-64.3,44.5,1
07/31/21,CA,Mountain View,-122.1,37.4,5
07/31/21,VA,Springfield,-77.2,38.8,1
07/31/21,PA,Erie,-80,42.1,1
07/31/21,OK,Oklahoma City,-97.6,35.5,5
07/31/21,NJ,Keyport,-74.2,40.4,3
07/31/21,NJ,Hackensack,-74,40.9,1
07/31/21,MD,Lothian,-76.7,38.8,5
07/31/21,QC,Laval,-73.7,45.6,1
07/31/21,CT,West Hartford,-72.7,41.8,1
07/31/21,NY,Town of Arcade,-78.4,42.6,3
