Date,State,Town,Longitude,Latitude,Sighting
12/31/22,FL,West Palm Beach,-80,26.8,2
12/31/22,TAM,EstaciÃ³n Santa Engracia,-99.3,24,6
12/30/22,FL,Jacksonville Beach,-81.4,30.3,1
12/30/22,PR,Palmarejo,-66.3,18.3,1
12/30/22,PA,New Ringgold,-76,40.6,0
12/29/22,FL,Keystone Heights,-82,29.8,2
12/29/22,LA,Bush,-90,30.6,1
12/29/22,AL,Summerdale,-87.7,30.5,1
12/29/22,PR,Palmarejo,-66.3,18.3,3
12/28/22,FL,Panama City Beach,-86,30.3,2
12/28/22,FL,West Palm Beach,-80,26.8,1
12/28/22,LA,New Orleans,-90.1,30,1
12/28/22,TX,Rockport,-97,28.1,1
12/28/22,FL,Gainesville,-82.4,29.7,2
12/28/22,PR,Palmarejo,-66.3,18.3,2
12/27/22,TX,Pasadena,-95.1,29.7,1
12/27/22,FL,West Palm Beach,-80,26.8,1
12/27/22,AL,Orange Beach,-87.6,30.3,2
12/27/22,TX,Corpus Christi,-97.4,27.7,1
12/27/22,CA,El Segundo,-118.4,33.9,2
12/27/22,PR,Palmarejo,-66.3,18.3,1
12/26/22,TX,Pearland,-95.2,29.6,1
12/26/22,AL,Summerdale,-87.7,30.5,1
12/26/22,NV,Las Vegas,-115.2,36.1,2
12/26/22,PR,Palmarejo,-66.3,18.3,1
12/25/22,AZ,Tucson,-110.8,32.2,1
12/25/22,PR,Palmarejo,-66.3,18.3,2
12/25/22,CA,Hemet,-117,33.7,1
12/24/22,CA,Mountain View,-122.1,37.4,11
12/24/22,PR,Palmarejo,-66.3,18.3,3
12/23/22,FL,Fort Myers,-81.9,26.6,1
12/23/22,FL,West Palm Beach,-80,26.8,2
12/23/22,NC,Hendersonville,-82.5,35.3,10
12/22/22,TN,Murfreesbooro,-76.9,39.2,3
12/22/22,CA,Sunnyvale,-122.1,37.4,1
12/22/22,PR,Palmarejo,-66.3,18.3,1
12/21/22,TN,Murfreesbooro,-76.9,39.2,2
12/21/22,TX,Port Aransas,-97.1,27.8,1
12/21/22,CA,El Segundo,-118.4,33.9,8
12/20/22,FL,West Palm Beach,-80,26.8,1
12/20/22,PR,Palmarejo,-66.3,18.3,1
12/19/22,GA,St Simons Island,-81.4,31.2,1
12/19/22,FL,West Palm Beach,-80,26.8,2
12/19/22,FL,Orange Park,-81.8,30.2,1
12/19/22,SC,Hilton Head Island,-80.8,32.2,2
12/18/22,PR,Palmarejo,-66.3,18.3,1
12/18/22,PA,Mcveytown,-77.8,40.5,0
12/17/22,TX,Corpus Christi,-97.4,27.8,1
12/17/22,FL,West Palm Beach,-80,26.8,1
12/17/22,AZ,Green Valley,-111,31.9,3
12/17/22,TX,Menard,-99.7,30.6,1
12/17/22,CA,Mountain View,-122.1,37.4,13
12/17/22,AZ,Tucson,-111,32.3,5
12/16/22,TX,Houston,-95.3,29.7,2
12/16/22,TX,Houston,-95.4,29.7,2
12/16/22,TX,Houston,-95.4,29.8,1
12/16/22,CA,Long Beach,-118.2,33.8,1
12/16/22,CA,San Juan Capistrano,-117.7,33.5,1
12/16/22,PR,Palmarejo,-66.3,18.3,1
12/15/22,AL,Summerdale,-87.7,30.5,2
12/15/22,TX,Pearland,-95.3,29.6,2
12/15/22,FL,West Palm Beach,-80,26.8,2
12/15/22,TX,Houston,-95.4,29.7,2
12/15/22,TX,Houston,-95.4,29.8,1
12/15/22,TX,Houston,-95.4,29.8,2
12/15/22,CA,El Segundo,-118.4,33.9,5
12/15/22,PR,Palmarejo,-66.3,18.3,2
12/14/22,MS,Bay St Louis,-89.3,30.3,1
12/14/22,FL,West Palm Beach,-80,26.8,1
12/14/22,TX,Austin,-97.7,30.3,1
12/14/22,AL,Summerdale,-87.7,30.5,2
12/14/22,LA,Thibodaux,-90.8,29.8,5
12/14/22,PR,Palmarejo,-66.3,18.3,3
