Date,State,Town,Longitude,Latitude,Sighting
07/31/22,MI,Warren,-83,42.5,1
07/31/22,NB,Welshpool,-67,44.9,12
07/31/22,NB,Welshpool,-66.9,44.9,2
07/31/22,ME,Searsport,-68.9,44.5,1
07/31/22,CT,New London,-72.1,41.4,2
07/31/22,NS,Fox Point,-64.1,44.6,2
07/31/22,ME,Brunswick,-70,43.9,3
07/31/22,IN,Noblesville,-86,40.1,2
07/31/22,ON,Mississauga,-79.7,43.5,1
07/31/22,MS,Pass Christian,-89.2,30.3,1
07/31/22,MI,Caledonia,-85.5,42.8,3
07/31/22,MN,Sturgeon Lake,-92.7,46.4,1
07/31/22,IL,Antioch,-88.1,42.5,1
07/31/22,NY,Mahopac,-73.7,41.4,1
07/31/22,MD,Mt Airy,-77.1,39.4,5
07/31/22,NE,Creighton,-97.9,42.5,1
07/31/22,ON,Mississauga,-79.7,43.5,1
07/31/22,NC,Rocky Mount,-77.7,36,1
07/31/22,WI,Milwaukee,-87.9,43,5
07/31/22,MN,Minneapolis,-93.2,45,1
07/31/22,VT,Barnet,-72.1,44.4,2
07/31/22,NE,Omaha,-96.2,41.2,1
07/31/22,MI,Independence Charter Township,-83.4,42.8,1
07/31/22,MD,Mt Airy,-77.2,39.4,1
07/31/22,TX,Nederland,-94,30,1
07/31/22,PA,Benton,-76.3,41.2,1
07/31/22,MN,Minneapolis,-93.3,44.9,1
07/31/22,MA,Bourne,-70.5,41.8,3
07/31/22,NY,Ocean Beach,-73.1,40.6,9
07/31/22,MA,Wareham,-70.7,41.7,2
07/31/22,WI,Kohler,-87.8,43.7,1
07/31/22,MA,Somerset,-71.1,41.7,3
07/31/22,CA,Castro Valley,-122.1,37.7,1
07/31/22,CA,Mill Valley,-122.5,37.9,4
07/31/22,NC,Columbia,-76.3,35.9,1
07/31/22,IL,Chicago,-87.7,42,1
07/31/22,NY,Plainview,-73.5,40.8,1
07/31/22,CT,Fairfield,-73.3,41.2,1
07/31/22,IL,Western Springs,-87.9,41.8,1
07/31/22,WI,Cambridge,-89,43,2
07/31/22,ON,Parry Sound,-80,45.3,1
07/31/22,FL,Jacksonville,-81.9,30.3,2
07/31/22,NY,Ballston Lake,-73.8,42.9,1
07/31/22,MA,Swampscott,-70.9,42.5,1
07/31/22,NY,Baldwinsville,-76.3,43.1,1
07/31/22,VA,Newport News,-76.5,37.1,2
07/31/22,MA,Bolton,-71.6,42.4,1
07/31/22,IL,Rockford,-89.2,42.2,1
07/31/22,IL,Rockford,-89.2,42.2,1
07/31/22,IL,Rockford,-89.2,42.2,3
07/31/22,WI,Kewaskum,-88.2,43.5,2
07/31/22,ON,Leamington,-82.5,41.9,14
07/31/22,MN,Minneapolis,-93.2,45,1
07/31/22,MA,Lunenburg,-71.7,42.6,1
07/31/22,IL,Streamwood,-88.2,42,1
07/31/22,IL,Roselle,-88.1,42,1
07/31/22,IL,Rockford,-89.2,42.2,1
07/31/22,IL,Rockford,-89.2,42.2,1
07/31/22,MI,Moran Township,-85,46,10
07/31/22,ON,Waterloo,-80.6,43.5,1
07/31/22,CT,Stonington,-71.9,41.4,17
07/31/22,CT,Stonington,-71.9,41.4,1
07/31/22,ID,Fish Haven,-111.4,42,3
07/31/22,MN,Mabel,-91.9,43.5,5
07/31/22,IL,Rockford,-89.2,42.2,2
07/31/22,NY,Schenectady,-73.9,42.8,1
07/31/22,IL,Rockford,-89.2,42.2,1
07/31/22,IL,Rockford,-89.2,42.2,1
07/31/22,MA,Westford,-71.4,42.6,1
07/31/22,ON,Hamilton,-79.8,43.2,1
07/31/22,VA,Chincoteague,-75.3,38,1
07/31/22,NJ,Lawrence Township,-74.7,40.3,2
07/31/22,NJ,Lawrence Township,-74.7,40.3,2
07/31/22,OK,Tulsa,-95.9,36,1
07/31/22,NE,Omaha,-96.2,41.2,1
07/31/22,MD,Ocean City,-75.1,38.3,1
07/31/22,ON,Barrie,-79.7,44.4,1
07/31/22,FL,Groveland,-81.9,28.6,2
07/31/22,OH,New Miami,-84.5,39.4,3
07/31/22,PA,Ardmore,-75.3,40,1
07/31/22,ON,Ottawa,-75.7,45.4,1
07/31/22,ON,Ottawa,-75.7,45.4,1
07/31/22,IL,Crete,-87.6,41.4,5
07/31/22,NS,Eastern Passage,-63.5,44.6,2
07/31/22,UT,Salt Lake City,-111.9,40.8,1
07/31/22,PA,Friendsville,-76,41.9,3
07/31/22,NS,Boutiliers Point,-64,44.7,1
07/31/22,UT,Hyde Park,-111.8,41.8,1
07/31/22,PA,Gouldsboro,-75.5,41.3,14
07/31/22,OH,Perrysburg,-83.6,41.6,1
07/31/22,OH,Deerfield Township,-81,41,1
07/31/22,NH,Colebrook,-71.5,44.9,3
07/31/22,OH,Bowling Green,-83.6,41.4,1
07/31/22,KS,Atchison,-95.1,39.5,1
07/31/22,WV,Belington,-79.9,39.1,1
07/31/22,AR,Fort Smith,-94.4,35.4,1
