Date,State,Town,Longitude,Latitude,Sighting
07/31/22,MD,Mt Airy,-77.1,39.4,1
07/31/22,NE,Creighton,-97.9,42.5,1
07/31/22,NY,Monroe,-74.2,41.3,3
07/31/22,MA,Wareham,-70.7,41.7,39
07/31/22,MA,Somerset,-71.1,41.7,11
07/31/22,FL,Jacksonville,-81.9,30.3,2
07/31/22,IL,Buffalo Grove,-88,42.1,9
07/31/22,PA,Stroudsburg,-75.2,41,1
07/31/22,MA,Ashburnham,-71.9,42.6,4
07/31/22,NY,Ballston Lake,-73.8,42.9,2
07/31/22,CA,Piedmont,-122.2,37.8,2
07/31/22,NY,Baldwinsville,-76.3,43.1,2
07/31/22,UT,Hyde Park,-111.8,41.8,8
07/31/22,NH,Colebrook,-71.5,44.9,2
07/31/22,NB,Minto,-66,46,14
07/31/22,IL,Itasca,-88,42,8
07/31/22,VA,Glade Spring,-81.8,36.8,8
07/31/22,CT,Cheshire,-72.9,41.5,7
07/31/22,CT,Cheshire,-72.9,41.5,2
07/31/22,WI,Whitewater,-88.8,42.9,3
07/31/22,FL,Jacksonville,-81.6,30.3,11
07/31/22,FL,Green Cove Springs,-81.7,30,2
07/31/22,ON,Grand Valley,-80.3,43.9,4
07/31/22,VA,Peola Mills,-78.2,38.6,1
07/31/22,MO,Fenton,-90.5,38.5,3
07/31/22,UT,Providence,-111.8,41.7,6
07/31/22,IL,West Chicago,-88.2,41.9,8
07/31/22,ON,Windsor,-83.1,42.2,4
07/31/22,WI,Fond du Lac,-88.4,43.8,5
07/31/22,IA,Indianola,-93.6,41.4,1
07/31/22,WI,Thiensville,-88,43.2,4
07/31/22,IL,Wheaton,-88.1,41.9,1
07/31/22,IL,Waverly,-90,39.6,4
07/31/22,KY,Finchville,-85.3,38.2,1
07/31/22,FL,Holiday,-82.8,28.2,12
07/31/22,ON,Toronto,-79.3,43.7,10
07/31/22,MI,Grosse Pointe Park,-82.9,42.4,11
07/31/22,OH,Woodville,-83.4,41.4,5
07/31/22,MI,Corunna,-84.1,43,1
07/31/22,MN,Mankato,-93.9,44.1,3
07/31/22,UT,Nibley,-111.8,41.7,1
07/31/22,WI,Fitchburg,-89.4,43,1
07/31/22,ON,Toronto,-79.5,43.6,2
07/31/22,ON,South Frontenac,-76.4,44.4,1
07/31/22,IN,West Point,-87,40.3,1
07/31/22,MO,KCMO,-94.5,39.2,6
07/31/22,ON,Halton Hills,-79.9,43.7,1
07/31/22,IN,Hammond,-87.5,41.6,1
07/30/22,CT,Deep River,-72.4,41.4,1
07/30/22,ME,Boothbay Harbor,-69.7,43.9,1
07/30/22,FL,Beverly Hills,-82.4,28.9,1
07/30/22,UT,Providence,-111.8,41.7,10
07/30/22,MI,Elmira,-84.8,45.1,2
07/30/22,MN,Longville,-94.4,47,2
07/30/22,WI,Milwaukee,-87.9,43,1
07/30/22,NB,Grand Manan,-66.7,44.8,6
07/30/22,NJ,Washington Township,-75.1,39.8,83
07/30/22,VA,Afton,-78.8,38,3
07/30/22,CT,Beacon Falls,-73.1,41.4,8
07/30/22,WI,Wauwatosa,-88,43.1,15
07/30/22,NJ,Lyndhurst,-74.1,40.8,6
07/30/22,ON,Grand Valley,-80.3,43.9,5
07/30/22,ON,Aurora,-79.5,44,1
07/30/22,VA,Cape Charles,-76,37.3,1
07/30/22,LA,Gretna,-90,29.9,1
07/30/22,ME,Boothbay Harbor,-69.7,43.9,1
07/30/22,MI,Attica,-83.2,43.1,28
07/30/22,MA,Lunenburg,-71.7,42.6,1
07/30/22,MA,Framingham,-71.5,42.3,1
07/30/22,MI,Clinton Twp,-82.9,42.6,7
07/30/22,NY,Mahopac,-73.7,41.4,2
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,NY,Mahopac,-73.7,41.4,1
07/30/22,CA,Santa Cruz,-122,37,1
07/30/22,NB,Chipman,-65.9,46.2,10
07/30/22,NS,Liscomb,-62,45,2
07/30/22,ON,Windsor,-83.1,42.2,16
07/30/22,NY,Plainview,-73.5,40.8,1
07/30/22,NB,Fredericton,-66.7,46,1
07/30/22,NB,Fredericton,-66.7,46,1
07/30/22,NB,Fredericton,-66.7,46,1
07/30/22,NB,Fredericton,-66.7,46,1
07/30/22,NB,Fredericton,-66.7,46,1
07/30/22,NB,Fredericton,-66.7,46,1
07/30/22,NJ,Wanaque,-74.3,41,3
07/30/22,FL,Jacksonville,-81.6,30.3,17
07/30/22,PA,Mechanicsburg,-77,40.2,3
07/30/22,NY,Farmington,-77.4,43,12
07/30/22,ON,Waterloo,-80.5,43.5,9
07/30/22,WI,Cambridge,-89,43,1
07/30/22,OH,Medina,-81.9,41.2,2
07/30/22,MN,Duluth,-92.1,46.8,3
07/30/22,IL,Rochester,-89.5,39.7,7
07/30/22,WI,Manitowoc,-87.7,44.1,11
07/30/22,IL,Wheaton,-88.1,41.9,5
07/30/22,IL,Gerlaw,-90.6,41,38
07/30/22,FL,Destin,-86.4,30.4,3
07/30/22,IL,Waverly,-90,39.6,15
07/30/22,GUA,SolÃ­s,-100.7,20,45
07/30/22,WI,Burlington,-88.3,42.6,2
07/30/22,WI,Sturgeon Bay,-87.3,44.9,8
07/30/22,IN,Hammond,-87.5,41.6,1
07/30/22,CO,Arvada,-105.1,39.8,16
07/30/22,OH,Oxford,-84.8,39.5,5
07/30/22,MO,KCMO,-94.5,39.2,1
07/30/22,NJ,East Windsor,-74.6,40.3,3
07/30/22,IN,Fort Wayne,-85.1,41.2,40
07/30/22,ON,Halton Hills,-79.9,43.7,16
07/30/22,ME,Farmingdale,-69.8,44.3,4
07/29/22,ON,Leamington,-82.5,42,25
07/29/22,MN,Isanti,-93.3,45.5,9
07/29/22,MI,Temperance,-83.6,41.7,2
07/29/22,WI,Madison,-89.5,43.1,5
07/29/22,MI,Cadillac,-85.4,44.2,3
07/29/22,PA,Anderson Creek,-78.5,41.2,74
07/29/22,TX,Nederland,-94,30,2
