Date,State,Town,Longitude,Latitude,Sighting
12/31/23,TX,Pearland,-95.4,29.5,
12/26/23,Caicos Islands,Kew Town Settlement,-72.3,21.8,
12/10/23,GA,Skidaway Island,-81,32,
12/08/23,FL,Floral City,-82.3,28.7,
12/06/23,AZ,Tucson,-110.9,32.2,
12/03/23,FL,Naples,-81.6,26.3,
12/03/23,FL,Naples,-81.6,26.3,
12/01/23,FL,St. Petersburg,-82.6,27.8,
11/29/23,MS,Natchez,-91.3,31.6,
11/16/23,TX,South Padre Island,-97.2,26.1,
11/15/23,CA,Fremont,-122,37.6,
11/15/23,CA,Fremont,-122,37.6,
11/14/23,TX,Corpus Christi,-97.4,27.8,
11/11/23,TX,Forney,-96.5,32.7,
11/06/23,GA,Norcross,-84.2,34,
11/06/23,TX,Taylor,-97.5,30.6,
11/06/23,TX,Taylor,-97.5,30.6,
11/03/23,TX,Mission,-98.3,26.2,
10/29/23,NH,Langdon,-72.3,43.2,
10/28/23,MI,Irons,-86,44.1,
10/24/23,NJ,Brigantine,-74.4,39.4,
10/19/23,TX,Taylor,-97.5,30.6,
10/18/23,OK,Noble,-97.4,35.1,
10/15/23,TX,Lindale,-95.4,32.5,
10/14/23,TX,Gatesville,-97.7,31.4,
10/14/23,MB,Winnipeg,-97.1,49.8,
10/14/23,CA,Hayward,-122.1,37.6,
10/14/23,TX,Gatesville,-97.7,31.4,
10/14/23,TX,Gatesville,-97.7,31.4,
10/14/23,TX,Gatesville,-97.7,31.4,
10/12/23,FL,Panama City Beach,-86,30.3,
10/12/23,FL,Panama City Beach,-86,30.3,
10/11/23,TX,Bend,-98.5,31.1,
10/10/23,NY,Skaneateles,-76.4,42.9,
10/08/23,TX,Spicewood,-98.2,30.5,
10/08/23,TX,Marble Falls,-98.2,30.5,
10/08/23,VA,Mechanicsville,-77.4,37.6,
10/06/23,MI,Ottawa Lake,-83.7,41.8,
10/06/23,FL,Naples,-81.4,26,
10/05/23,TX,San Antonio,-98.6,29.4,
10/04/23,NC,Durham,-79,35.9,
10/03/23,TX,Taylor,-97.5,30.6,
10/03/23,TX,Taylor,-97.5,30.6,
10/02/23,NY,Westhampton Beach,-72.6,40.8,
09/30/23,MO,Mt Vernon,-93.8,37.1,
09/29/23,TX,Denton,-97.1,33.2,
09/28/23,OH,Cincinnati,-84.5,39.1,
09/28/23,SD,Sioux Falls,-96.8,43.5,
09/27/23,NC,Greensboro,-79.9,36.1,
09/26/23,MD,Baltimore,-76.6,39.2,
09/24/23,WV,Secondcreek,-80.5,37.7,
09/24/23,TX,Dublin,-98.4,32.1,
09/24/23,IA,Clear Lake,-93.4,43.2,
09/24/23,TX,Dublin,-98.4,32.1,
09/23/23,NC,Whitsett,-79.6,36.1,
09/23/23,NC,Four Oaks,-78.5,35.5,
09/22/23,CA,Sacramento,-121.4,38.6,
09/22/23,TX,Fort Davis,-103.8,30.5,
09/20/23,VA,Portsmouth,-76.3,36.8,
09/20/23,WV,Glen Jean,-81.2,37.9,
09/19/23,CT,Hartford,-72.7,41.8,
09/18/23,KS,Arlington,-98.2,37.9,
09/17/23,MA,Wilbraham,-72.4,42.2,
09/17/23,IN,Mishawaka,-86.2,41.7,
09/16/23,TX,New Boston,-94.5,33.4,
09/16/23,OK,Sulphur,-97,34.5,
09/15/23,FL,Panama City Beach,-86,30.3,
09/15/23,CA,Sacramento,-121.6,38.6,
09/14/23,TX,Lorena,-97.3,31.4,
09/14/23,VA,Richmond,-77.5,37.5,
09/13/23,AZ,Tucson,-110.9,32.2,
09/13/23,MA,Amherst,-72.5,42.4,
09/13/23,WI,Burlington,-88.2,42.7,
09/13/23,MD,Bishopville,-75.1,38.4,
09/13/23,IL,Edwardsville,-90,38.9,
09/12/23,KY,Fort Knox,-86,37.9,
09/12/23,UT,Mt Pleasant,-111.5,39.5,
09/11/23,AL,Fairhope,-87.8,30.5,
09/10/23,OK,Bixby,-95.8,35.8,
09/09/23,FL,Cape Coral,-81.9,26.7,
09/08/23,UT,Mt Pleasant,-111.4,39.5,
09/08/23,GA,Cumming,-84.2,34.2,
09/06/23,NY,Vermontville,-74.1,44.5,
09/06/23,AR,Ozark,-93.8,35.4,
09/06/23,AR,Ozark,-93.8,35.4,
09/05/23,TX,Saginaw,-97.3,32.9,
09/05/23,NJ,Monmouth Beach,-74,40.3,
09/04/23,TX,McKinney,-96.6,33.2,
09/04/23,MD,Rising Sun,-76.1,39.7,
09/03/23,MI,Sanford,-84.4,43.6,
09/03/23,MO,Pacific,-90.7,38.4,
09/03/23,VA,Midlothian,-77.6,37.5,
09/03/23,VA,Chesterfield,-77.6,37.4,
09/02/23,MA,Deerfield,-72.6,42.5,
09/02/23,MO,Springfield,-93.3,37.1,
09/01/23,SC,Simpsonville,-82.3,34.8,
09/01/23,IL,Ivesdale,-88.5,39.9,
09/01/23,MI,Grand Haven,-86.2,43,
09/01/23,TX,Krum,-97.3,33.2,
09/01/23,TX,Krum,-97.3,33.2,
08/31/23,TX,Abilene,-99.7,32.5,
08/31/23,OH,Mansfield,-82.4,40.8,
08/31/23,NC,Durham,-78.8,35.9,
08/31/23,OK,Claremore,-95.6,36.3,
08/31/23,MI,Detroit,-83,42.4,
08/30/23,ON,Carling,-80.2,45.4,
08/29/23,PA,Wexford,-80.1,40.6,
08/29/23,TX,Marshall Springs,-95.1,33.3,
08/29/23,CA,San Martin,-121.6,37.1,
08/28/23,MO,Marshall,-93.2,39.1,
08/28/23,OH,Tiffin,-83.2,41.1,
08/28/23,OK,Norman,-97.4,35.2,
08/28/23,IL,Chicago,-87.6,41.9,
08/27/23,DC,Washington,-77.1,38.9,
08/27/23,MI,Gwinn,-87.4,46.3,
08/27/23,IA,Walcott,-90.7,41.6,
08/27/23,OK,Dewey,-95.9,36.8,
08/27/23,MD,Severna Park,-76.5,39.1,
08/27/23,WI,Neenah,-88.5,44.2,
08/26/23,VA,Mauck,-78.4,38.5,
08/26/23,MA,Chelmsford,-71.4,42.6,
08/25/23,MO,KCMO,-94.6,39.2,
08/24/23,CT,Plainville,-72.9,41.7,
08/24/23,NY,Chittenango,-75.9,43,
08/24/23,MD,Severna Park,-76.5,39.1,
08/24/23,VA,Madison,-78.4,38.5,
08/24/23,MD,Knoxville,-77.7,39.3,
08/24/23,AL,Birmingham,-86.8,33.5,
08/23/23,IL,Mattoon,-88.4,39.4,
08/23/23,NC,Matthews,-80.7,35.1,
08/21/23,PE,Kensington,-63.6,46.4,
08/20/23,PA,Collegeville,-75.5,40.2,
08/20/23,IL,Waukegan,-87.9,42.3,
08/19/23,OR,Talent,-122.8,42.2,
08/19/23,PA,Schnecksville,-75.6,40.7,
08/19/23,IN,Depauw,-86.2,38.4,
08/19/23,IN,Hebron,-87.2,41.4,
08/19/23,WV,Hedgesville,-78,39.6,
08/18/23,OH,Medina,-81.9,41.1,
08/17/23,NH,Londonderry,-71.4,42.9,
08/17/23,IL,Johnsburg,-88.2,42.4,
08/17/23,IA,Urbandale,-93.7,41.6,
08/17/23,OH,Oxford,-84.7,39.5,
08/17/23,NY,Commack,-73.3,40.8,
08/17/23,KY,Somerset,-84.6,37.1,
08/17/23,AL,Huntsville,-86.6,34.6,
08/17/23,NJ,Hillsdale,-74.1,41,
08/16/23,MI,Saginaw,-84,43.5,
08/16/23,NH,Exeter,-70.9,43,
08/16/23,NH,Newmarket,-70.9,43.1,
08/16/23,KY,Louisville,-85.9,38.1,
08/16/23,OH,Mansfield,-82.4,40.8,
08/16/23,PA,South Park Township,-80,40.3,
08/16/23,NY,Skaneateles,-76.4,42.9,
08/15/23,PA,Dublin,-75.2,40.4,
08/15/23,NH,Portsmouth,-70.8,43.1,
08/15/23,NH,Durham,-70.9,43.1,
08/14/23,NY,Webster,-77.5,43.2,
08/14/23,NJ,Fair Lawn,-74.1,40.9,
08/13/23,VA,Richmond,-77.6,37.6,
08/13/23,WI,Wyocena,-89.3,43.5,
08/13/23,MD,Severna Park,-76.5,39.1,
08/13/23,OH,Cleveland,-81.7,41.5,
08/13/23,CO,Byers,-104.2,39.7,
08/13/23,CO,Byers,-104.2,39.7,
08/13/23,TX,Garden City,-101.8,31.8,
