Date,State,Town,Longitude,Latitude,Sighting
07/31/23,IL,Batavia,-88.4,41.8,
07/31/23,TX,Mansfield,-97.1,32.6,
07/31/23,NC,Timberlake,-78.9,36.3,
07/31/23,TX,Sugar Land,-95.6,29.6,
07/31/23,OH,North Canton,-81.4,40.9,
07/31/23,OH,North Canton,-81.4,40.9,
07/31/23,PA,Harrisburg,-76.8,40.3,
07/31/23,WI,Waukesha,-88.2,43,
07/31/23,MD,Woodstock,-76.9,39.3,
07/31/23,LA,Gretna,-90,29.9,
07/31/23,VA,Herndon,-77.4,38.9,
07/31/23,MI,Sanford,-84.4,43.6,
07/31/23,MI,Sanford,-84.4,43.6,
07/31/23,CA,La Mesa,-117,32.8,
07/31/23,WI,Madison,-89.4,43.1,
07/31/23,CT,Westport,-73.4,41.1,
07/31/23,CT,Westport,-73.4,41.1,
07/31/23,CT,Westport,-73.4,41.1,
07/31/23,WI,Boulder Junction,-89.6,46.1,
07/31/23,ON,Sioux Narrows Nestor Falls,-94,49.4,
07/31/23,OK,Guthrie,-97.4,35.7,
07/31/23,PA,Pittsburgh,-80,40.5,
07/31/23,IL,Schaumburg,-88.1,42,
07/31/23,MI,Houghton,-88.6,47.1,
07/31/23,MI,Midland,-84.2,43.7,
07/31/23,WI,Arcadia,-91.5,44.2,
07/31/23,IL,Elk Grove Village,-88,42,
07/31/23,PA,Warren,-79.1,41.9,
07/31/23,CT,Ansonia,-73.1,41.3,
07/31/23,CT,Ansonia,-73.1,41.3,
07/31/23,OH,New Lebanon,-84.4,39.7,
07/31/23,MN,Eagan,-93.2,44.8,
07/31/23,PA,Covington,-77.2,41.8,
07/31/23,NE,Hastings,-98.4,40.6,
07/31/23,VA,Leon,-78.1,38.4,
07/31/23,CA,Trabuco Canyon,-117.6,33.7,
07/31/23,MA,Quincy,-71,42.3,
07/31/23,IN,South Bend,-86.2,41.6,
07/31/23,ME,Waterville,-69.6,44.5,
07/31/23,MN,Plymouth,-93.5,45,
07/31/23,UT,Salt Lake City,-111.9,40.8,
07/31/23,UT,Salt Lake City,-111.9,40.8,
07/31/23,GA,Eatonton,-83.4,33.3,
07/31/23,ME,Waterville,-69.7,44.6,
07/31/23,ME,Waterville,-69.7,44.6,
07/31/23,MN,Minneapolis,-93.3,44.9,
07/30/23,NC,Hickory,-81.3,35.7,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,OH,Miamisburg,-84.3,39.6,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,CO,Broomfield,-105,39.9,
07/30/23,OH,North Canton,-81.4,40.9,
07/30/23,NY,Bath,-77.4,42.4,
07/30/23,MA,New Bedford,-70.9,41.6,
07/30/23,NY,New City,-74,41.2,
07/30/23,MN,Duluth,-92.1,46.8,
07/30/23,MN,Duluth,-92.1,46.8,
07/30/23,IL,Lynn Center,-90.3,41.2,
07/30/23,MN,Brainerd,-94.3,46.4,
07/30/23,VA,Reston,-77.3,38.9,
07/30/23,MN,Duluth,-92.1,46.8,
07/30/23,CA,Azusa,-117.9,34.1,
07/30/23,PA,Pittsburgh,-79.9,40.5,
07/30/23,IA,Nevada,-93.5,42,
07/30/23,PA,Cheswick,-79.9,40.6,
07/30/23,MI,Saugatuck,-86.2,42.7,
07/30/23,VT,Holland,-72,45,
07/30/23,VT,Holland,-72,45,
07/30/23,ON,Brampton,-79.8,43.7,
07/30/23,KY,Ashland,-82.6,38.4,
07/30/23,WI,Birchwood,-91.6,45.6,
07/30/23,NE,Bennington,-96.2,41.4,
07/30/23,NC,Hickory,-81.3,35.7,
07/30/23,NC,Hickory,-81.3,35.7,
07/30/23,NC,Hickory,-81.3,35.7,
07/30/23,NC,Hickory,-81.3,35.7,
07/30/23,NC,Hickory,-81.3,35.7,
