Date,State,Town,Longitude,Latitude,Sighting
1/1/2023,PR,Palmarejo,-66.3,18.3,2
1/2/2023,FL,West Palm Beach,-80,26.8,2
1/2/2023,SC,Hilton Head Island,-80.7,32.2,1
1/2/2023,LA,Madisonville,-90.2,30.4,1
1/2/2023,PR,Palmarejo,-66.3,18.3,3
1/2/2023,FL,Cape Coral,-81.9,26.6,1
1/3/2023,FL,Summerfield,-82,29,1
1/3/2023,FL,Tampa,-82.5,27.9,3
1/3/2023,TX,Spring,-95.5,30.2,1
1/3/2023,PR,Palmarejo,-66.3,18.3,1
1/3/2023,TX,Houston,-95.4,29.7,1
1/4/2023,FL,West Palm Beach,-80,26.8,1
1/4/2023,FL,Cape Coral,-82,26.6,3
1/4/2023,FL,Vero Beach,-80.4,27.6,1
1/4/2023,FL,Sanibel,-82,26.4,2
1/4/2023,AZ,Tucson,-111,32.3,5
1/4/2023,FL,Boynton Beach,-80.1,26.5,1
1/4/2023,FL,Marathon,-81.1,24.7,1
1/5/2023,FL,West Palm Beach,-80,26.8,1
1/5/2023,FL,Coconut Creek,-80.2,26.3,1
1/5/2023,TX,Sugar Land,-95.6,29.6,5
1/5/2023,PR,Palmarejo,-66.3,18.3,1
1/6/2023,SC,Charleston,-80,32.7,1
1/6/2023,FL,Panama City,-85.8,30.2,4
1/6/2023,FL,Wellington,-80.3,26.6,1
1/6/2023,PR,Palmarejo,-66.3,18.3,2
1/6/2023,TX,Houston,-95.4,29.7,1
1/7/2023,TX,Tomball,-95.6,30,1
1/7/2023,FL,Jacksonville,-81.6,30.2,1
1/7/2023,TX,Sugar Land,-95.6,29.6,1
1/7/2023,AZ,Green Valley,-111,31.9,1
1/7/2023,PR,Palmarejo,-66.3,18.3,2
1/8/2023,TX,Seabrook,-95,29.6,3
1/8/2023,FL,Wellington,-80.3,26.7,1
1/8/2023,AZ,Tucson,-110.9,32.2,2
1/8/2023,FL,St. Petersburg,-82.7,27.7,3
1/8/2023,CA,Glendora,-117.9,34.1,1
1/8/2023,PR,Palmarejo,-66.3,18.3,2
1/8/2023,CA,Pacific Grove,-121.9,36.6,4000
1/8/2023,TX,Houston,-95.4,29.7,1
1/8/2023,QC,Laval,-73.8,45.6,1
1/9/2023,TX,Corpus Christi,-97.4,27.8,1
1/9/2023,MS,Pascagoula,-88.6,30.4,1
1/9/2023,AZ,Tucson,-110.9,32.2,1
1/9/2023,PR,Palmarejo,-66.3,18.3,2
1/9/2023,AZ,Tucson,-111,32.3,5
1/10/2023,FL,West Palm Beach,-80,26.8,1
1/10/2023,AL,Gulf Shores,-87.7,30.2,1
1/10/2023,FL,Orlando,-81.5,28.6,1
1/10/2023,FL,Port Salerno,-80.2,27.1,2
1/10/2023,PR,Palmarejo,-66.3,18.3,2
1/10/2023,PR,Barranquitas,-66.3,18.2,1
1/10/2023,TX,Houston,-95.4,29.8,1
1/11/2023,FL,Longwood,-81.3,28.7,6
1/11/2023,FL,Alva,-81.6,26.7,8
1/11/2023,FL,Singer Island,-80,26.8,4
1/11/2023,AZ,Tucson,-110.9,32.2,2
1/11/2023,AZ,Tucson,-110.9,32.2,2
1/12/2023,PR,Palmarejo,-66.3,18.3,2
1/12/2023,CA,Berkeley,-122.2,37.9,1
1/12/2023,FL,Tampa,-82.6,28.1,3
1/13/2023,GA,Savannah,-81.1,32,1
1/13/2023,PR,Palmarejo,-66.3,18.3,2
1/13/2023,TX,Houston,-95.4,29.8,1
1/13/2023,AZ,Tucson,-111,32.3,2
1/14/2023,PR,Palmarejo,-66.3,18.3,1
1/14/2023,PR,La Luisa,-66.5,18.5,1
1/15/2023,FL,West Palm Beach,-80,26.8,1
1/15/2023,PR,Palmarejo,-66.3,18.3,1
1/15/2023,FL,Tampa,-82.4,28.1,1
1/16/2023,FL,Mt Dora,-81.6,28.8,1
1/16/2023,TX,Sugar Land,-95.6,29.6,1
1/16/2023,TX,Missouri City,-95.5,29.6,1
1/16/2023,TX,Corpus Christi,-97.4,27.7,1
1/16/2023,FL,West Palm Beach,-80,26.8,1
1/16/2023,TX,Rockport,-97,28.1,1
1/17/2023,TX,Houston,-95.7,29.9,1
1/17/2023,FL,West Palm Beach,-80,26.8,1
1/17/2023,PR,Palmarejo,-66.3,18.3,1
1/17/2023,LA,Lacombe,-89.9,30.3,1
1/17/2023,TX,Houston,-95.4,29.7,1
1/17/2023,PR,Botijas,-66.4,18.2,10
1/18/2023,FL,West Palm Beach,-80,26.8,1
1/18/2023,PR,Palmarejo,-66.3,18.3,1
1/18/2023,TX,Sugar Land,-95.6,29.6,1
1/18/2023,FL,Miami,-80.2,25.7,1
1/18/2023,FL,Pompano Beach,-80.1,26.3,1
1/19/2023,FL,Jupiter,-80.1,26.9,1
1/19/2023,FL,West Palm Beach,-80,26.8,2
1/19/2023,PR,Palmarejo,-66.3,18.3,3
1/19/2023,FL,Ocoee,-81.5,28.6,10
1/19/2023,Bonaire,Kralendijk,-68.3,12.2,5
1/19/2023,TX,Katy,-95.7,29.9,1
1/19/2023,TX,Edinburg,-98.2,26.3,1
1/19/2023,TX,Houston,-95.4,29.8,1
1/19/2023,FL,Pompano Beach,-80.1,26.3,1
1/20/2023,PR,Palmarejo,-66.3,18.3,3
1/20/2023,FL,Lake Worth,-80.1,26.6,2
1/20/2023,CA,Los Angeles,-118.5,34,1
1/20/2023,FL,Port St Joe,-85.3,29.7,1
1/20/2023,FL,Port St Joe,-85.3,29.7,1
1/21/2023,MS,Bay St Louis,-89.3,30.3,1
1/21/2023,FL,Destin,-86.5,30.4,1
1/21/2023,PR,Palmarejo,-66.3,18.3,2
1/21/2023,TX,Edinburg,-98.2,26.3,1
1/21/2023,TX,Edinburg,-98.2,26.3,1
1/22/2023,Saint George Gingerland Parish,Mannings,-62.6,17.1,1
1/22/2023,FL,Naples,-81.8,26.1,3
1/22/2023,FL,Jacksonville,-81.8,30.3,1
1/22/2023,FL,Summerfield,-82,29,1
1/22/2023,TX,Port O'Connor,-96.4,28.4,1
1/22/2023,FL,Jacksonville,-81.6,30.1,1
1/22/2023,FL,Pensacola,-87.2,30.5,2
1/22/2023,PR,Palmarejo,-66.3,18.3,2
1/23/2023,LA,New Iberia,-91.8,30,1
