Date,State,Town,Longitude,Latitude,Sighting
07/31/23,MI,Hudsonville,-85.9,42.9,1
07/31/23,IL,Evanston,-87.7,42.1,2
07/31/23,MA,Lincoln,-71.3,42.4,1
07/31/23,ON,Dunrobin,-76,45.5,3
07/31/23,MN,St Anthony,-93.2,45,5
07/31/23,IA,Grinnell,-92.7,41.7,1
07/31/23,CT,Meriden,-72.9,41.5,1
07/31/23,OH,Lakewood,-81.8,41.5,1
07/31/23,PA,Harrisburg,-76.8,40.3,1
07/31/23,UT,Layton,-112,41.1,1
07/31/23,WI,Wausau,-89.7,45,1
07/31/23,NJ,Glen Ridge,-74.2,40.8,1
07/31/23,KY,Simpsonville,-85.4,38.2,2
07/31/23,FL,West Palm Beach,-80,26.8,2
07/31/23,MD,Woodstock,-76.9,39.3,2
07/31/23,VA,Chincoteague,-75.3,38,1
07/31/23,WI,Steuben,-90.8,43.2,2
07/31/23,OK,Tulsa,-95.9,36.2,1
07/31/23,IL,Evanston,-87.7,42.1,1
07/31/23,IL,Evanston,-87.7,42.1,2
07/31/23,TX,Prosper,-96.8,33.3,1
07/31/23,IL,Evanston,-87.7,42.1,1
07/31/23,MI,Battle Creek,-85.3,42.3,2
07/31/23,ON,Toronto,-79.6,43.6,1
07/31/23,CA,Laws,-118.3,37.4,1
07/31/23,UT,Salt Lake City,-111.9,40.7,1
07/31/23,VA,Herndon,-77.4,38.9,2
07/31/23,PA,Auburn,-76.1,40.6,1
07/31/23,PA,Imperial,-80.2,40.5,2
07/31/23,CT,Westport,-73.4,41.1,1
07/31/23,OH,Dayton,-84.1,39.8,2
07/31/23,MN,Minneapolis,-93.2,45,1
07/31/23,OH,Dayton,-84.1,39.8,2
07/31/23,WI,Boulder Junction,-89.6,46.1,2
07/31/23,MO,St. Louis,-90.3,38.5,2
07/31/23,LA,Lafayette,-92,30.2,2
07/31/23,UT,Salt Lake City,-111.9,40.8,1
07/31/23,WI,West Allis,-88,43,1
07/31/23,MD,Lusby,-76.5,38.4,4
07/31/23,VA,Madison,-78.3,38.4,1
07/31/23,ON,Mississauga,-79.6,43.6,1
07/31/23,IL,Galesburg,-90.4,41,1
07/31/23,OH,Lakewood,-81.8,41.5,1
07/31/23,OH,Toledo,-83.7,41.7,1
07/31/23,CT,Deep River,-72.4,41.4,1
07/31/23,ON,Sioux Narrows,-94.1,49.4,1
07/31/23,WI,Mercer,-90.1,46.2,2
07/31/23,ON,Prince Edward,-77.5,44,4
07/31/23,CA,Benicia,-122.2,38.1,1
07/31/23,NY,Penfield,-77.5,43.2,1
07/31/23,MI,Pinckney,-83.9,42.4,3
07/31/23,LA,Lacombe,-89.9,30.3,1
07/31/23,ON,Shanty Bay,-79.7,44.5,2
07/31/23,IL,Oswego,-88.4,41.7,3
07/31/23,MN,Northfield,-93.1,44.5,6
07/31/23,NE,Omaha,-96.2,41.2,1
07/31/23,WI,Arcadia,-91.5,44.2,2
07/31/23,MD,Middletown,-77.6,39.4,1
07/31/23,WY,Cody,-109.1,44.5,2
07/31/23,IL,Schaumburg,-88.1,42,1
07/31/23,IA,Iowa City,-91.6,41.6,1
07/31/23,NC,Waxhaw,-80.7,34.9,1
07/31/23,VT,South Hero,-73.3,44.6,1
07/31/23,NJ,Wanaque,-74.3,41,1
07/31/23,OK,Calera,-96.4,33.9,5
07/31/23,MI,Rochester Hills,-83.2,42.7,1
07/31/23,IA,Council Bluffs,-95.8,41.2,1
07/31/23,OH,North Jackson,-80.9,41.1,1
07/31/23,RI,North Kingstown,-71.5,41.6,1
07/31/23,MI,Harrison Twp,-82.8,42.6,4
07/31/23,OH,Tipp City,-84.2,40,1
07/31/23,CT,Ansonia,-73.1,41.3,1
07/31/23,MI,White Lake Charter Township,-83.5,42.6,4
07/31/23,VT,Burlington,-73.2,44.5,1
07/31/23,MN,Plymouth,-93.5,45,1
07/31/23,ON,Mississauga,-79.6,43.6,1
07/31/23,PA,Morrisville,-74.9,40.2,1
07/31/23,PA,Carlisle,-77.3,40.2,1
07/31/23,PA,Flourtown,-75.2,40.1,1
07/31/23,MN,Eagan,-93.2,44.8,3
07/31/23,OH,New Carlisle,-84,39.9,1
07/31/23,IL,Chicago,-87.8,41.8,1
07/31/23,WI,Butternut,-90.5,46,3
07/31/23,IN,Munster,-87.5,41.6,2
07/31/23,OH,Moraine,-84.2,39.7,1
07/31/23,IL,Rockford,-89,42.3,2
07/31/23,NY,Penfield,-77.5,43.2,1
07/31/23,WI,Chippewa Falls,-91.4,44.9,2
07/31/23,ON,Chatham,-82.2,42.4,3
07/31/23,MA,Swampscott,-70.9,42.5,1
07/31/23,MN,Chaska,-93.6,44.8,3
07/31/23,PA,Reading,-76,40.3,1
07/31/23,PA,Mount Joy,-76.5,40.1,1
07/31/23,WV,Henderson,-82.1,38.8,1
07/31/23,VA,Parksley,-75.7,37.8,1
07/31/23,OH,Kimbolton,-81.5,40.1,2
07/31/23,NC,Hudson,-81.5,35.8,1
07/31/23,OH,Cincinnati,-84.4,39.1,1
