Date,State,Town,Longitude,Latitude,Sighting
10/02/24,MN,Mendota,-93.2,44.9,
09/29/24,MA,Halifax,-70.9,42,
09/28/24,NY,Albany,-73.8,42.7,
09/27/24,OK,Hitchcock,-98.3,36,
09/27/24,VT,Manchester,-73,43.2,
09/26/24,OH,Lakewood,-81.8,41.5,
09/26/24,TX,Mason,-99.2,30.8,
09/23/24,ID,Caldwell,-116.6,43.6,
09/19/24,MO,Joplin,-94.5,37,
09/18/24,FL,Crestview,-86.6,30.8,
09/18/24,OK,Tulsa,-95.9,36,
09/18/24,OK,Tulsa,-95.9,36,
09/17/24,KS,Lawrence,-95.2,39,
09/16/24,WI,Madison,-89.4,43,
09/16/24,MD,Waldorf,-77,38.6,
09/16/24,MI,Pigeon,-83.2,43.9,
09/15/24,WI,Oregon,-89.4,42.9,
09/15/24,OH,Westerville,-82.9,40.1,
09/14/24,NH,Merrimack,-71.5,42.9,
09/14/24,IL,Skokie,-87.8,42,
09/13/24,IL,Ivesdale,-88.5,39.9,
09/13/24,NC,Belmont,-81,35.3,
09/13/24,MN,Scandia,-92.8,45.3,
09/12/24,SC,Easley,-82.6,34.9,
09/12/24,MI,Mason,-84.4,42.7,
09/12/24,CA,San Rafael,-122.6,38,
09/12/24,KS,Olathe,-94.8,38.9,
09/11/24,IL,Buffalo Grove,-88,42.2,
09/11/24,FL,Palmetto,-82.6,27.5,
09/10/24,OK,Yukon,-97.8,35.5,
09/07/24,OK,Bethany,-97.6,35.5,
09/07/24,OK,Shawnee,-96.9,35.3,
09/06/24,NC,Sparta,-81.2,36.5,
09/06/24,VT,Strafford,-72.3,43.9,
09/05/24,OK,McAlester,-95.8,34.9,
09/05/24,MI,Pigeon,-83.2,43.9,
09/04/24,CT,Fairfield,-73.3,41.2,
09/04/24,NY,Stanley,-77.1,42.8,
09/03/24,MO,Springfield,-93.3,37.2,
09/03/24,OH,Yellow Springs,-83.9,39.8,
09/03/24,PA,Wexford,-80.1,40.6,
09/02/24,MI,Village of Clarkston,-83.4,42.7,
09/02/24,NY,Utica,-75.1,43.2,
09/01/24,NY,Geneva,-77,42.9,
09/01/24,WI,Cottage Grove,-89.2,43.1,
09/01/24,IL,Cortland,-88.7,41.9,
09/01/24,MI,Waterford Twp,-83.4,42.7,
09/01/24,KS,Parkerfield,-97,37.1,
09/01/24,WI,Bradley,-89.8,45.6,
08/31/24,WI,Peshtigo,-87.9,45,
08/31/24,WI,Peshtigo,-87.9,45,
08/29/24,IN,Homer,-85.6,39.6,
08/29/24,KY,Philpot,-87,37.7,
08/29/24,WI,Birchwood,-91.6,45.6,
08/27/24,MA,Cambridge,-71.1,42.4,
08/24/24,FL,Jacksonville,-81.6,30.2,
08/24/24,MO,Springfield,-93.3,37.2,
08/24/24,MD,Baltimore,-76.6,39.2,
08/23/24,WI,Heafford Junction,-89.7,45.6,
08/23/24,WI,Heafford Junction,-89.7,45.6,
08/22/24,VA,Bland,-81,37.2,
