Date,State,Town,Longitude,Latitude,Sighting
07/31/24,MA,Carlisle,-71.3,42.5,
07/31/24,UT,Paragonah,-112.7,37.9,
07/31/24,WI,Portage,-89.6,43.6,
07/31/24,UT,Ogden,-112.1,41.3,
07/31/24,WI,Portage,-89.5,43.5,
07/31/24,WI,Appleton,-88.4,44.3,
07/31/24,MA,Burlington,-71.2,42.5,
07/31/24,CT,Darien,-73.5,41.1,
07/31/24,CT,Derby,-73.1,41.3,
07/31/24,MO,Springfield,-93.3,37.2,
07/31/24,NV,Shanty Town,-115.5,40.1,
07/31/24,NV,Shanty Town,-115.5,40.2,
07/31/24,NV,Shanty Town,-115.5,40.1,
07/31/24,NV,Shanty Town,-115.5,40.2,
07/30/24,MA,Carlisle,-71.3,42.5,
07/30/24,ND,Devils Lake,-98.8,48.1,
07/30/24,NH,Manchester,-71.4,43,
07/30/24,NH,Londonderry,-71.3,42.9,
07/30/24,MA,Medford,-71.1,42.4,
07/30/24,ND,Bismarck,-100.8,46.8,
07/30/24,MA,Medford,-71.1,42.4,
07/30/24,WI,Wauwatosa,-88,43.1,
07/30/24,AZ,Cochise,-109.9,32.1,
07/30/24,VA,Richmond,-77.6,37.6,
07/30/24,IA,Iowa City,-91.5,41.7,
07/30/24,WI,Mazomanie,-89.7,43.2,
07/30/24,WI,Grand Marsh,-89.7,43.9,
07/30/24,MI,Saline,-83.8,42.1,
07/30/24,NY,Arcade,-78.5,42.5,
07/30/24,NY,Arcade,-78.5,42.5,
07/30/24,MI,Plymouth,-83.5,42.4,
07/30/24,MI,Northville,-83.5,42.4,
07/30/24,MI,Plymouth,-83.5,42.4,
07/30/24,MI,Plymouth,-83.5,42.4,
07/30/24,PA,West Chester,-75.7,39.9,
07/30/24,CT,Milford,-73.1,41.2,
07/30/24,MO,Verdella,-94.4,37.6,
07/29/24,OH,Resaca,-83.4,40,
07/29/24,MD,Columbia,-76.9,39.2,
07/29/24,PA,Avondale,-75.8,39.8,
07/29/24,GA,St Marys,-81.5,30.8,
07/29/24,WI,Lake Mills,-88.9,43.1,
07/29/24,WI,Lake Mills,-88.9,43.1,
07/29/24,WI,Madison,-89.3,43.1,
07/29/24,WI,Lake Mills,-88.9,43.1,
07/29/24,WI,Lake Mills,-88.9,43.1,
07/29/24,NH,Northwood,-71.2,43.2,
07/29/24,OK,Mounds,-95.9,35.9,
07/29/24,IN,Auburn,-85,41.4,
07/29/24,IL,Pingree Grove,-88.4,42.1,
07/29/24,NJ,Cape May,-74.9,39,
07/29/24,MI,Coleman,-84.6,43.8,
07/29/24,MN,Lilydale,-93.1,44.9,
07/29/24,WI,Black Earth,-89.7,43.2,
07/29/24,MI,Freeland,-84.1,43.5,
07/29/24,NE,Creighton,-97.9,42.5,
07/29/24,ON,Shanty Bay,-79.7,44.5,
07/29/24,WV,Wymer,-79.6,38.9,
07/29/24,CT,Seymour,-73.1,41.4,
07/29/24,MO,Springfield,-93.3,37.2,
07/28/24,NJ,Monmouth Beach,-74,40.3,
07/28/24,KS,Overland Park,-94.6,38.9,
07/28/24,PA,Olanta,-78.5,40.9,
07/28/24,NC,Alexander,-82.6,35.7,
07/28/24,NJ,Sayreville,-74.3,40.5,
07/28/24,NH,Northwood,-71.2,43.2,
07/28/24,NH,Dover,-70.9,43.2,
07/28/24,WI,Westfield,-89.5,43.9,
07/28/24,MA,Billerica,-71.2,42.6,
07/28/24,NJ,Sayreville,-74.3,40.5,
07/28/24,WI,Westfield,-89.6,43.9,
07/28/24,MI,Auburn,-84.1,43.6,
07/28/24,ON,Toronto,-79.4,43.6,
07/28/24,GA,Savannah,-81.1,32,
07/28/24,NE,Papillion,-96,41.1,
07/28/24,MN,Chanhassen,-93.5,44.9,
07/28/24,MN,Chanhassen,-93.5,44.9,
07/28/24,MB,Riverland,-95.9,50.2,
07/28/24,MN,Chanhassen,-93.5,44.9,
07/28/24,MD,Columbia,-76.9,39.2,
07/28/24,MD,Columbia,-76.9,39.2,
07/28/24,NB,Scotchtown,-66.2,45.9,
07/28/24,IL,Geneseo,-90.2,41.4,
07/28/24,KS,Wichita,-97.2,37.7,
07/28/24,MN,Minneapolis,-93.3,45,
07/28/24,WI,Mazomanie,-89.7,43.2,
07/28/24,CT,Ansonia,-73.1,41.3,
07/28/24,CT,Derby,-73.1,41.3,
07/28/24,PA,Windber,-78.8,40.2,
07/28/24,CT,Bristol,-72.9,41.7,
07/28/24,IL,Elmhurst,-87.9,41.9,
07/28/24,MD,Columbia,-76.9,39.2,
07/28/24,IA,Ruthven,-95,43.1,
07/28/24,WI,Stevens Point,-89.6,44.5,
07/28/24,NE,Creighton,-97.9,42.5,
07/28/24,MO,Springfield,-93.3,37.1,
07/28/24,VA,Fairfax,-77.3,38.8,
07/28/24,LA,New Orleans,-90.1,30,
07/27/24,PA,Fairfield,-77.4,39.8,
07/27/24,OH,London,-83.4,40,
07/27/24,OH,London,-83.4,40,
07/27/24,OH,London,-83.4,40,
07/27/24,VT,Manchester,-73,43.2,
07/27/24,MI,Midland,-84.3,43.6,
07/27/24,MI,Midland,-84.2,43.7,
07/27/24,WI,Monona,-89.3,43.1,
07/27/24,ON,Port Colborne,-79.3,42.9,
07/27/24,MA,Lunenburg,-71.7,42.6,
07/27/24,MA,Lunenburg,-71.7,42.6,
07/27/24,MA,Lunenburg,-71.7,42.6,
07/27/24,MA,Barnstable,-70.3,41.7,
07/27/24,TN,Ocoee,-84.7,35.1,
07/27/24,MD,Columbia,-76.9,39.2,
07/27/24,CA,San Diego,-117.1,32.9,
07/27/24,NB,Newcastle Creek,-66,46.1,
07/27/24,MA,Billerica,-71.3,42.5,
