Date,State,Town,Longitude,Latitude,Sighting
10/06/24,TN,Hendersonville,-86.6,36.4,1
10/06/24,MO,Festus,-90.4,38.1,3
10/06/24,OK,Bethany,-97.6,35.5,2
10/05/24,NY,Binghamton,-75.9,42.1,1
10/05/24,NY,Port Dickinson,-75.9,42.1,1
10/05/24,NY,Whitney Point,-76,42.3,8
10/05/24,VA,Leesburg,-77.5,39.1,1
10/05/24,AR,Norfork,-92.3,36.2,1
10/05/24,MO,Walnut Grove,-93.6,37.3,3
10/05/24,VA,Falls Church,-77.2,38.9,2
10/05/24,OK,Edmond,-97.5,35.7,5
10/05/24,LA,Broussard,-92,30.1,1
10/05/24,OH,Elyria,-82.1,41.4,2
10/05/24,SC,Pawleys Island,-79.1,33.5,3
10/05/24,OK,Oklahoma City,-97.6,35.5,1
10/05/24,TN,Nashville,-86.9,36.1,1
10/05/24,PA,Pittsburgh,-80,40.5,1
10/05/24,OK,Norman,-97.3,35.2,4
10/05/24,OK,Norman,-97.5,35.2,1
10/05/24,TX,Pampa,-101,35.6,1
10/05/24,CO,Broomfield,-105.1,39.9,1
10/05/24,OK,Stillwater,-97.1,36.1,3
10/05/24,MI,New Buffalo,-86.8,41.8,1
10/05/24,OH,Chillicothe,-83.1,39.3,1
10/05/24,MN,Two Harbors,-91.7,47,6
10/05/24,KS,Overland Park,-94.7,39,1
10/05/24,TX,Fort Worth,-97.4,32.6,6
10/05/24,OK,Tulsa,-96,36.1,1
10/05/24,TN,Clarksville,-87.2,36.5,4
10/05/24,MO,Imperial,-90.4,38.4,1
10/05/24,MO,Festus,-90.4,38.1,2
10/05/24,IN,Rushville,-85.5,39.6,1
10/05/24,IL,Shannon,-89.7,42.1,1
10/05/24,MI,Charlotte,-84.8,42.6,1
10/05/24,MO,Festus,-90.4,38.2,3
10/05/24,NY,Buffalo,-78.9,42.9,1
10/05/24,MI,Charlotte,-84.8,42.6,1
10/05/24,TX,Richardson,-96.8,33,1
10/05/24,OK,Norman,-97.2,35.2,1
10/05/24,OK,Norman,-97.2,35.2,2
10/05/24,MN,Minneapolis,-93.3,44.9,1
10/05/24,OK,Norman,-97.5,35.2,2
10/05/24,TX,Houston,-95.6,29.9,2
10/05/24,KS,Manhattan,-96.6,39.2,2
10/05/24,IL,Marion,-88.9,37.6,3
10/05/24,NY,Lido Beach,-73.6,40.6,6
10/05/24,TX,Houston,-95.6,29.9,2
10/05/24,NC,Banner Elk,-81.9,36.2,2
10/05/24,OK,Oklahoma City,-97.5,35.5,2
10/05/24,OK,Chickasha,-97.9,35.1,6
10/05/24,TX,Lawn,-99.8,32.1,2
10/05/24,TX,Plano,-96.8,33.1,2
10/05/24,OK,Glenpool,-96,36,12
10/05/24,CA,Sausalito,-122.5,37.9,1
10/05/24,TX,Claude,-101.4,35.1,1
10/05/24,OK,Howe,-94.6,35,2
10/05/24,WV,Lewisburg,-80.4,37.8,1
10/05/24,MO,St. Louis,-90.3,38.6,2
10/05/24,OK,Tulsa,-95.9,36,2
10/05/24,NJ,Wanaque,-74.3,41,1
10/05/24,OK,Edmond,-97.4,35.7,2
10/05/24,MD,Lusby,-76.5,38.4,1
10/05/24,IA,Orleans,-95.1,43.4,2
10/05/24,MO,Pacific,-90.7,38.4,10
10/05/24,OK,Lexington,-97.3,35,3
10/05/24,TX,Harlingen,-97.7,26.2,1
10/05/24,OK,Tulsa,-95.9,36.1,3
10/05/24,OK,Jenks,-96,36,2
10/05/24,NJ,Long Branch,-74,40.3,1
10/05/24,NJ,Hackensack,-74,40.9,1
10/05/24,OK,Norman,-97.4,35.2,4
10/05/24,OH,Oxford,-84.8,39.6,4
10/05/24,ON,Leamington,-82.5,41.9,3
10/05/24,MO,Eureka,-90.6,38.5,2
10/05/24,MO,Kirkwood,-90.4,38.6,1
10/05/24,NY,Westhampton Beach,-72.6,40.8,1
10/05/24,OK,Weatherford,-98.7,35.5,1
10/05/24,OK,Tulsa,-95.9,36.1,1
10/05/24,NJ,Cape May,-74.9,38.9,101
10/04/24,IN,Rushville,-85.5,39.6,3
10/04/24,NY,New York,-74,40.7,1
10/04/24,TX,Comstock,-101.1,29.8,1
10/04/24,GA,Atlanta,-84.2,33.9,1
10/04/24,KS,Lenexa,-94.7,39,1
10/04/24,NJ,Buena,-74.9,39.5,1
10/04/24,ON,Ottawa,-75.7,45.4,1
10/04/24,MO,Branson,-93.3,36.7,1
10/04/24,MA,Lincoln,-71.3,42.4,1
10/04/24,TX,Schertz,-98.2,29.6,1
10/04/24,TX,Fort Worth,-97.5,32.7,1
10/04/24,OK,Norman,-97.3,35.2,1
10/04/24,TX,West Lake Hills,-97.8,30.3,1
10/04/24,MO,St. Louis,-90.4,38.6,1
10/04/24,MD,Bowie,-76.8,38.9,1
10/04/24,MD,Bowie,-76.8,38.9,1
10/04/24,TX,Richardson,-96.8,33,2
10/04/24,KS,Wichita,-97.3,37.7,1
10/04/24,MD,Silver Spring,-77,39,1
10/04/24,NC,Newton,-81.3,35.7,1
10/04/24,MD,Silver Spring,-77,39,2
10/04/24,OK,Norman,-97.4,35.2,1
