Date,State,Town,Longitude,Latitude,Sighting
07/31/24,FL,Kissimmee,-81.4,28.3,10
07/31/24,ON,Whitby,-78.9,43.9,1
07/31/24,ON,Aurora,-79.4,44,1
07/31/24,PA,Media,-75.4,39.9,2
07/31/24,WI,Stevens Point,-89.6,44.5,3
07/31/24,WI,Stevens Point,-89.6,44.5,1
07/31/24,MI,Manistee,-86.3,44.2,1
07/31/24,MA,Norwood,-71.2,42.2,1
07/31/24,WI,Portage,-89.6,43.6,3
07/31/24,ON,Thunder Bay,-89.2,48.4,1
07/31/24,NY,Interlaken,-76.7,42.6,1
07/31/24,ON,Clearview,-80.2,44.3,2
07/31/24,NC,North Topsail Beach,-77.3,34.5,1
07/31/24,ON,London,-81.2,43,1
07/31/24,MN,Arden Hills,-93.2,45,1
07/31/24,IL,Itasca,-88,42,1
07/31/24,NY,Clifton Park,-73.7,42.8,1
07/31/24,WI,Wauwatosa,-88,43.1,2
07/31/24,WI,Madison,-89.4,43,1
07/31/24,IN,Noblesville,-86,40,2
07/31/24,MN,New Brighton,-93.2,45.1,3
07/31/24,WI,Fox Point,-87.9,43.2,1
07/31/24,NJ,Cape May Point,-75,38.9,4
07/31/24,UT,Ogden,-112.1,41.3,2
07/31/24,MB,Winnipeg,-97.3,49.9,2
07/31/24,ON,Kingston,-76.5,44.2,1
07/31/24,IL,Oak Lawn,-87.8,41.7,1
07/31/24,WI,Stevens Point,-89.5,44.5,1
07/31/24,IL,Big Rock,-88.5,41.7,1
07/31/24,MN,Eagan,-93.2,44.8,2
07/31/24,CA,Nipomo,-120.5,35,1
07/31/24,VA,Virginia Beach,-76.1,36.9,1
07/31/24,ON,Thunder Bay,-89.2,48.4,2
07/31/24,MN,Dodge Center,-92.9,44,2
07/31/24,ME,Mechanic Falls,-70.4,44.1,2
07/31/24,IA,Hiawatha,-91.7,42,2
07/31/24,MI,Ann Arbor,-83.7,42.3,1
07/31/24,MI,Temperance,-83.6,41.8,2
07/31/24,MN,Moose Lake,-92.7,46.4,1
07/31/24,VA,Richmond,-77.6,37.6,1
07/31/24,WI,Solon Springs,-91.5,46.3,0
07/31/24,NC,Washington,-77,35.6,2
07/31/24,MN,Prior Lake,-93.4,44.7,2
07/31/24,ON,Thunder Bay,-89.3,48.4,2
07/31/24,PA,Easton,-75.2,40.7,1
07/31/24,ON,LaSalle,-83.1,42.2,1
07/31/24,ON,Chatham,-82.2,42.4,1
07/31/24,ON,Toronto,-79.4,43.7,1
07/31/24,IN,Auburn,-85,41.4,1
07/31/24,IL,Lake Villa,-88.1,42.4,1
07/31/24,MN,St Paul,-93.1,44.9,2
07/31/24,ON,Thornbury,-80.5,44.6,1
07/31/24,UT,Hyde Park,-111.8,41.8,1
07/31/24,MI,Sault Ste. Marie,-84.3,46.5,1
07/31/24,VA,Virginia Beach,-76.1,36.9,2
07/31/24,CO,Fort Collins,-105,40.6,2
07/31/24,WI,Appleton,-88.4,44.3,1
07/31/24,WI,Waupaca,-89,44.3,1
07/31/24,WI,Menasha,-88.3,44.2,1
07/31/24,ON,Toronto,-79.3,43.7,1
07/31/24,WI,Caledonia,-88,42.8,1
07/31/24,WI,Madison,-89.4,43.1,1
07/31/24,ON,Kingston,-76.4,44.2,1
07/31/24,VA,Virginia Beach,-76.1,36.9,2
07/31/24,WI,Mequon,-87.9,43.2,4
07/31/24,ON,Midhurst,-79.7,44.5,2
07/31/24,FL,Hobe Sound,-80.1,27.1,1
07/31/24,CA,Redwood City,-122.2,37.5,1
07/31/24,MN,Richfield,-93.3,44.9,2
07/31/24,ON,Stratford,-81,43.4,1
07/31/24,NS,Truro,-63.3,45.4,1
07/31/24,NJ,Freehold,-74.3,40.3,1
07/31/24,TX,Webster,-95.1,29.6,1
07/31/24,CA,Orange,-117.9,33.8,1
07/31/24,ON,Desbarats,-84.1,46.3,7
07/31/24,UT,Salt Lake City,-111.9,40.8,1
07/31/24,MA,Falmouth,-70.7,41.5,1
07/31/24,MI,Brooklyn,-84.3,42.1,2
07/31/24,NC,Fletcher,-82.5,35.4,2
07/31/24,IA,Robins,-91.7,42.1,3
07/31/24,MI,Paynesville,-89.1,46.5,4
07/31/24,MI,Traverse City,-85.7,44.7,1
07/31/24,VT,Barre,-72.4,44.2,1
07/31/24,AR,Rogers,-94.1,36.3,1
07/31/24,FL,Lutz,-82.5,28.1,1
07/31/24,FL,Jacksonville,-81.5,30.3,1
07/31/24,ON,Castleton,-77.8,44.1,3
07/31/24,WI,Cornell,-91.3,45.2,1
07/31/24,WI,Oconomowoc,-88.5,43.1,2
07/31/24,MI,Gladstone,-87,45.8,1
