Date,State,Town,Longitude,Latitude,Sighting
10/05/24,TX,Sunnyvale,-96.6,32.8,8
10/03/24,MD,Odenton,-76.7,39,1
10/03/24,TX,Canyon Lake,-98.3,29.9,1
10/02/24,CA,Carlsbad,-117.3,33.1,12
10/02/24,CA,Mountain View,-122.1,37.4,4
10/02/24,OH,Cincinnati,-84.6,39.3,20
09/30/24,TX,Gainesville,-97.1,33.6,1
09/28/24,CA,Oakland,-122.2,37.8,6
09/28/24,CA,Oakland,-122.2,37.8,3
09/28/24,TX,Aspermont,-100.2,33.2,2
09/28/24,TX,Rockwall,-96.6,32.8,5
09/27/24,OK,Hitchcock,-98.3,36,3
09/25/24,OK,El Reno,-98,35.5,5
09/25/24,IL,Waverly,-90,39.6,1
09/24/24,SC,Murrells Inlet,-79,33.6,5
09/24/24,IL,Waverly,-90,39.6,1
09/23/24,IL,Waverly,-90,39.6,24
09/22/24,IL,Waverly,-90,39.6,44
09/21/24,OK,Yukon,-97.7,35.5,1
09/21/24,MS,Ocean Springs,-88.7,30.4,2
09/20/24,MI,Sterling Heights,-83,42.6,2
09/20/24,TX,Richardson,-96.7,32.9,8
09/18/24,OK,Norman,-97.4,35.2,2
09/18/24,TX,Forney,-96.5,32.7,10
09/16/24,FL,DeBary,-81.3,28.9,4
09/16/24,OH,Fremont,-83.2,41.3,1
09/16/24,TX,Houston,-95.1,29.6,4
09/15/24,TX,Fort Worth,-97.4,32.6,1
09/14/24,CA,Oakland,-122.2,37.8,6
09/14/24,VA,Virginia Beach,-76.1,36.9,3
09/14/24,TX,Aspermont,-100.2,33.1,12
09/14/24,TX,Arlington,-97.2,32.7,15
09/13/24,FL,Vero Beach,-80.4,27.6,8
09/13/24,OK,Durant,-96.3,34,6
09/13/24,OK,Tulsa,-95.9,36.1,2
09/13/24,TX,Mt Pleasant,-95,33.2,8
09/13/24,PA,Lebanon,-76.4,40.3,8
09/12/24,AR,Fayetteville,-94.1,36.1,3
09/12/24,ON,Thunder Bay,-89.2,48.4,4
09/12/24,AR,Natural Dam,-94.4,35.6,2
09/11/24,TX,St Hedwig,-98.2,29.4,2
09/11/24,OK,Tulsa,-95.9,36.1,3
09/10/24,NC,Wrightsville Beach,-77.8,34.2,17
09/10/24,OK,Tulsa,-95.9,36.1,5
09/10/24,OK,Tahlequah,-95,35.9,5
09/10/24,MS,Laurel,-89.3,31.8,50
09/10/24,GA,Woodstock,-84.4,34.2,1
09/10/24,TN,Germantown,-89.8,35.1,30
09/09/24,OK,Weatherford,-98.7,35.5,3
09/09/24,OK,Tulsa,-95.8,36.1,10
09/09/24,TX,Granbury,-97.8,32.4,5
09/09/24,OK,Broken Arrow,-95.7,36,23
09/09/24,OK,McAlester,-95.8,34.9,1
09/09/24,OK,Broken Arrow,-95.7,36,23
09/09/24,NC,Cary,-78.9,35.8,30
09/09/24,TX,Plano,-96.7,33,1
09/08/24,OK,Broken Arrow,-95.8,36,6
09/08/24,OK,Tulsa,-95.9,36.1,3
09/08/24,TN,Pegram,-87,36.1,12
09/08/24,OK,Choctaw,-97.3,35.4,3
09/08/24,OK,Broken Arrow,-95.7,36,55
09/08/24,OK,Broken Arrow,-95.7,36,55
09/08/24,OK,Broken Arrow,-95.8,36,6
09/08/24,TX,Granbury,-97.8,32.5,1
09/07/24,OK,Tulsa,-95.8,36.1,10
09/07/24,KS,Great Bend,-98.7,38.3,6
09/07/24,OK,El Reno,-98,35.5,12
09/07/24,OK,Oklahoma City,-97.5,35.5,4
09/06/24,OK,Broken Arrow,-95.8,36.1,5
09/06/24,KS,Overland Park,-94.7,38.9,12
09/05/24,OK,Oklahoma City,-97.5,35.5,1
09/05/24,SC,Pinopolis,-80.1,33.2,40
09/05/24,OK,Ponca City,-97.1,36.7,4
09/05/24,OK,Broken Arrow,-95.8,36,7
09/05/24,OK,Broken Arrow,-95.7,36,18
09/05/24,WI,Milwaukee,-87.9,43,2
09/05/24,CA,San Jose,-121.9,37.2,15
09/05/24,CA,Saratoga,-122,37.3,11
09/05/24,NC,Raleigh,-78.7,35.7,65
09/04/24,OK,Norman,-97.4,35.2,1
09/04/24,OK,Ponca City,-97.1,36.7,1
09/04/24,MO,Springfield,-93.3,37.2,1
09/04/24,OK,Pond Creek,-97.9,36.6,1
09/04/24,KS,Leavenworth,-94.9,39.3,21
09/04/24,NC,Pittsboro,-79.1,35.8,9
09/03/24,OK,Mounds,-95.9,35.9,2
09/03/24,OK,Enid,-97.9,36.4,9
09/03/24,PA,Wexford,-80.1,40.6,1
09/03/24,NC,Wrightsville Beach,-77.8,34.2,25
09/02/24,OR,Medford,-122.8,42.3,21
09/02/24,PA,Reading,-75.9,40.4,7
09/02/24,TN,Nashville,-86.8,36.1,8
09/02/24,MN,Minneapolis,-93.3,44.9,8
09/01/24,OK,Sand Springs,-96.3,36.1,6
09/01/24,MO,St Joseph,-94.8,39.8,3
09/01/24,IL,Cortland,-88.7,41.9,5
09/01/24,OK,Cushing,-96.9,36,26
09/01/24,NC,Davidson,-80.8,35.5,20
09/01/24,OK,Norman,-97.5,35.3,1
09/01/24,OK,Norman,-97.5,35.2,24
08/31/24,KS,Salina,-97.6,38.8,1
08/31/24,IN,Rushville,-85.4,39.6,1
08/31/24,NC,Apex,-78.9,35.7,2
08/31/24,TN,Crossville,-84.9,36,16
08/31/24,MO,Springfield,-93.3,37.2,1
08/30/24,IA,Summerset,-93.6,41.4,1
08/30/24,RI,East Greenwich,-71.5,41.6,2
08/30/24,CO,Broomfield,-105.1,39.9,2
08/30/24,MO,Springfield,-93.3,37.2,1
08/30/24,VA,Williamsburg,-76.7,37.3,3
08/29/24,WI,New Richmond,-92.6,45.1,1
08/29/24,NC,Cornelius,-80.9,35.5,8
08/29/24,NS,Dartmouth,-63.5,44.7,6
08/29/24,IN,Rushville,-85.5,39.6,2
08/29/24,IL,Fairbury,-88.5,40.8,3
08/29/24,CT,Groton,-72,41.3,2
08/29/24,MO,Springfield,-93.3,37.2,5
08/29/24,SC,Myrtle Beach,-78.9,33.7,2
08/28/24,MO,KCMO,-94.6,39,6
08/28/24,TN,Clarksville,-87.2,36.5,10
08/28/24,AR,Lamar,-93.4,35.4,25
08/28/24,WI,Caledonia,-88,42.8,3
08/28/24,OH,Columbus,-83,40.1,5
08/28/24,TN,Nashville,-87,36.1,2
08/28/24,IL,Aurora,-88.3,41.7,5
08/28/24,MO,St Joseph,-94.8,39.8,2
08/28/24,NY,Rocky Point,-72.9,40.9,5
08/27/24,OH,Cincinnati,-84.3,39.1,3
08/27/24,NH,Salem,-71.2,42.8,5
08/26/24,TN,Hillsboro,-86,35.4,8
08/26/24,NJ,Glen Ridge,-74.2,40.8,8
08/26/24,RI,Burrillville,-71.7,42,2
08/26/24,RI,Burrillville,-71.7,42,9
08/26/24,PA,Cambridge Springs,-80,41.8,3
08/26/24,AL,Fairhope,-87.8,30.5,20
08/26/24,WI,Fort Atkinson,-88.8,42.9,2
08/26/24,NS,Meteghan,-66.2,44.2,2
08/26/24,NJ,Little Silver,-74,40.3,4
08/25/24,WI,Wauwatosa,-88,43.1,11
08/25/24,CA,Oakland,-122.2,37.8,2
08/25/24,TN,Clarksville,-87.4,36.5,15
08/25/24,NY,Lindenhurst,-73.4,40.7,5
08/25/24,MO,Springfield,-93.3,37.1,2
08/25/24,MO,Springfield,-93.3,37.1,2
08/25/24,TN,Nashville,-86.8,36.1,4
08/25/24,ON,St. Catharines,-79.3,43.2,1
08/24/24,CT,North Haven,-72.9,41.4,5
08/24/24,TN,Nashville,-86.8,36.1,12
08/24/24,NC,Morganton,-81.7,35.8,14
08/23/24,CT,Cheshire,-72.9,41.5,1
08/23/24,OH,Cincinnati,-84.3,39.1,1
